Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
ABDL,Allied Blenders and Distillers Limited,2026-09-24,N/A,₹722.00,₹722.00,₹650.00,9.99%,10%,"₹1,653,323 Cr",66
INDIAGLYCO,India Glycols Limited,2026-09-24,N/A,₹309.20,₹309.20,₹255.40,19.98%,20%,"₹170,235 Cr",48
KRONOX,Kronox Lab Sciences Limited,2026-09-24,N/A,₹196.75,₹196.75,₹191.00,4.99%,5%,"₹60,592 Cr",2
DANGEE,Dangee Dums Limited,2026-09-24,N/A,₹2.97,₹2.97,₹2.74,10.00%,10%,"₹3,796 Cr",76
STERTOOLS,Sterling Tools Limited,2026-09-24,N/A,₹233.05,₹233.05,₹224.98,5.00%,5%,"₹70,302 Cr",1
QUESTLAB,Quest Laboratories Limited,2026-09-24,N/A,₹90.10,₹90.10,₹73.00,19.97%,20%,"₹18,702 Cr",2
FAIRCHEMOR,Fairchem Organics Limited,2026-09-24,N/A,₹657.95,₹657.95,₹630.00,4.99%,5%,"₹68,786 Cr",0
AERONEU,Aeroflex Neu Limited,2026-09-24,N/A,₹80.64,₹80.64,₹68.00,20.00%,20%,"₹17,266 Cr",1
RKEC,RKEC Projects Limited,2026-09-24,N/A,₹22.84,₹22.84,₹18.80,19.96%,20%,"₹4,548 Cr",2
PRITIKAUTO,Pritika Auto Industries Limited,2026-09-24,N/A,₹17.14,₹17.14,₹16.50,4.96%,5%,"₹23,675 Cr",3
SETCO,Shilayan Industries Limited,2026-09-24,N/A,₹17.89,₹17.89,₹16.51,4.99%,5%,"₹19,913 Cr",1
KCK,Kck Industries Limited,2026-09-24,N/A,₹13.65,₹13.65,₹13.30,5.00%,5%,"₹112,969 Cr",1
SGL,STL Global Limited,2026-09-24,N/A,₹9.82,₹9.82,₹8.88,9.97%,10%,₹37 Cr,1
REPL,Rudrabhishek Enterprises Limited,2026-09-24,N/A,₹64.05,₹64.05,₹57.00,9.99%,10%,"₹9,118 Cr",0
