Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
MASTEK,Mastek Limited,2026-08-28,N/A,₹1933.90,₹1933.90,₹1615.00,20.00%,20%,"₹489,331 Cr",54
PRECWIRE,Precision Wires India Limited,2026-08-28,N/A,₹507.35,₹507.35,₹421.70,20.00%,20%,"₹769,805 Cr",86
MOREPENLAB,Morepen Laboratories Limited,2026-08-28,N/A,₹106.37,₹106.37,₹96.06,10.00%,10%,"₹482,954 Cr",390
XTRANET,Xtranet Technologies Limited,2026-08-28,N/A,₹197.11,₹197.11,₹163.00,20.00%,20%,"₹85,540 Cr",54
JUSTDIAL,Just Dial Limited,2026-08-28,N/A,₹704.55,₹704.55,₹653.35,10.00%,10%,"₹497,347 Cr",7
SHAHALLOYS,Shah Alloys Limited,2026-08-28,N/A,₹103.15,₹103.15,₹87.00,20.00%,20%,"₹16,950 Cr",14
EXXARO,Exxaro Tiles Limited,2026-08-28,N/A,₹7.42,₹7.42,₹6.20,19.87%,20%,"₹27,517 Cr",121
STLNETWORK,STL Networks Limited,2026-08-28,N/A,₹27.28,₹27.28,₹25.70,4.96%,5%,"₹110,519 Cr",20
GVPTECH,GVP Infotech Limited,2026-08-28,N/A,₹9.03,₹9.03,₹7.87,19.92%,20%,"₹12,358 Cr",13
SECMARK,SecMark Consultancy Limited,2026-08-28,N/A,₹152.34,₹152.34,₹128.80,20.00%,20%,"₹13,765 Cr",1
HITECHGEAR,The Hi-Tech Gears Limited,2026-08-28,N/A,₹578.65,₹578.65,₹549.45,5.00%,5%,"₹90,342 Cr",0
NEXTMEDIA,Next Mediaworks Limited,2026-08-28,N/A,₹4.62,₹4.62,₹3.85,20.00%,20%,"₹2,565 Cr",3
NIRAJISPAT,Niraj Ispat Industries Limited,2026-08-28,N/A,₹295.90,₹295.90,₹278.99,20.00%,20%,"₹1,474 Cr",0
KALYANI,Kalyani Commercials Limited,2026-08-28,N/A,₹144.99,₹144.99,₹144.99,5.00%,5%,"₹1,203 Cr",0
