Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
PARACABLES,Paramount Communications Limited,2026-05-11,N/A,₹60.64,₹60.64,₹54.40,9.99%,10%,"₹152,172 Cr",242
SASKEN,Sasken Technologies Limited,2026-05-11,N/A,₹1634.60,₹1634.60,₹1480.30,20.00%,20%,"₹206,038 Cr",6
NIMBSPROJ,Nimbus Projects Limited,2026-05-11,N/A,₹206.06,₹206.07,₹181.50,9.99%,10%,"₹33,039 Cr",4
LATTEYS,Latteys Industries Limited,2026-05-11,N/A,₹26.19,₹26.19,₹22.00,19.97%,20%,"₹12,498 Cr",10
INSPIRISYS,Inspirisys Solutions Limited,2026-05-11,N/A,₹92.28,₹92.28,₹85.25,4.99%,5%,"₹30,281 Cr",0
