Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
COCKERILL,John Cockerill India Limited,2026-07-09,N/A,₹9342.50,₹9342.50,₹8505.00,10.00%,10%,N/A,0
QPOWER,QUALITY POWER ELEC EQUP L,2026-07-09,N/A,₹1154.60,₹1154.60,₹1112.80,4.99%,5%,"₹742,161 Cr",1
SUBEXLTD,Subex Limited,2026-07-09,N/A,₹12.60,₹12.60,₹11.94,5.00%,5%,"₹58,027 Cr",23
RUBYMILLS,The Ruby Mills Limited,2026-07-09,N/A,₹365.55,₹365.55,₹355.00,5.00%,5%,"₹101,459 Cr",0
HITECHCORP,Hitech Corporation Limited,2026-07-09,N/A,₹327.40,₹327.40,₹312.00,4.99%,5%,"₹46,674 Cr",1
GINNIFILA,Ginni Filaments Limited,2026-07-09,N/A,₹54.15,₹54.16,₹50.00,4.96%,5%,"₹38,417 Cr",1
NIRMAN,"NIRMAN.NS,0P0001QMW0,89400",2026-07-09,N/A,₹45.65,₹45.65,₹40.20,10.00%,10%,"₹27,639 Cr",1
SOMATEX,Soma Textiles & Industries Limited,2026-07-09,N/A,₹112.80,₹112.80,₹103.41,10.00%,10%,"₹31,323 Cr",0
SIDDHIKA,"SIDDHIKA.NS,0P0001M1FS,3000",2026-07-09,N/A,₹216.55,₹216.55,₹216.35,4.99%,5%,"₹7,816 Cr",0
EQUIPPP,Equippp Social Impact Technologies Limited,2026-07-09,N/A,₹23.09,₹23.10,₹21.40,4.95%,5%,"₹19,689 Cr",0
DHRUV,Dhruv Consultancy Services Limited,2026-07-09,N/A,₹26.27,₹26.27,₹26.27,5.00%,5%,"₹4,135 Cr",0
