Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
BLUESTONE,BLUESTONE JEWEL LFSTL LTD,2026-07-21,N/A,₹732.45,₹732.45,₹616.50,20.00%,20%,"₹921,695 Cr",231
AASTHA,AASTHA SPINTEX LIMITED,2026-07-21,N/A,₹129.06,₹129.06,₹115.50,20.00%,20%,N/A,103
TIRUPATIFL,Tirupati Forge Limited,2026-07-21,N/A,₹76.95,₹76.95,₹69.50,9.99%,10%,"₹75,544 Cr",28
HECPROJECT,HEC Infra Projects Limited,2026-07-21,N/A,₹138.72,₹138.72,₹122.00,20.00%,20%,"₹12,479 Cr",3
RAJOOENG,Rajoo Engineers Limited,2026-07-21,N/A,₹53.61,₹53.61,₹52.40,4.99%,5%,"₹79,504 Cr",3
INDOAMIN,Indo Amines Limited,2026-07-21,N/A,₹126.73,₹126.73,₹120.70,5.00%,5%,"₹76,352 Cr",1
GULFPETRO,GP Petroleums Limited,2026-07-21,N/A,₹38.35,₹38.36,₹36.12,4.95%,5%,"₹16,203 Cr",1
DSFCL,DCM SHRIRAM FINE CHEM LTD,2026-07-21,N/A,₹26.78,₹26.78,₹25.21,4.98%,5%,"₹19,336 Cr",0
TARAPUR,Tarapur Transformers Limited,2026-07-21,N/A,₹17.94,₹17.94,₹17.94,4.97%,5%,"₹2,904 Cr",0
