Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
ASTEC,Astec LifeSciences Limited,2026-03-25,N/A,₹628.80,₹628.80,₹527.95,20.00%,20%,"₹115,309 Cr",37
RPSGVENT,RPSG Ventures Limited,2026-03-25,N/A,₹720.90,₹720.90,₹660.00,20.00%,20%,"₹197,972 Cr",19
MICEL,MIC Electronics Limited,2026-03-25,N/A,₹33.19,₹33.19,₹32.55,5.00%,5%,"₹66,393 Cr",6
KRITI,Kriti Industries (India) Limited,2026-03-25,N/A,₹65.61,₹65.61,₹53.99,19.99%,20%,"₹28,696 Cr",3
SUMIT,Sumit Woods Limited,2026-03-25,N/A,₹48.30,₹48.30,₹43.41,10.00%,10%,"₹17,971 Cr",2
CLEDUCATE,CL Educate Limited,2026-03-25,N/A,₹49.27,₹49.27,₹45.97,4.99%,5%,"₹22,198 Cr",2
HILTON,Hilton Metal Forging Limited,2026-03-25,N/A,₹17.25,₹17.25,₹14.66,19.96%,20%,"₹5,250 Cr",5
