Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
VINDHYATEL,Vindhya Telelinks Limited,2026-08-03,N/A,₹2383.00,₹2383.00,₹2073.60,20.00%,20%,"₹234,397 Cr",6
GENESYS,Genesys International Corporation Limited,2026-08-03,N/A,₹298.75,₹298.75,₹274.95,10.00%,10%,"₹103,624 Cr",5
ALPHAGEO,Alphageo (India) Limited,2026-08-03,N/A,₹264.15,₹264.15,₹220.25,20.00%,20%,"₹13,954 Cr",3
AARTISURF,Aarti Surfactants Limited,2026-08-03,N/A,₹481.00,₹481.00,₹455.25,20.00%,20%,"₹33,818 Cr",1
ELITECON,Elitecon International Limited,2026-08-03,N/A,₹17.20,₹17.20,₹15.68,9.97%,10%,N/A,28
IITL,Industrial Investment Trust Limited,2026-08-03,N/A,₹153.21,₹153.21,₹133.21,20.00%,20%,"₹28,672 Cr",3
REGAAL,REGAAL RESOURCES LIMITED,2026-08-03,N/A,₹85.97,₹85.97,₹82.99,5.00%,5%,"₹73,491 Cr",2
HALDYNGL,Haldyn Glass Limited,2026-08-03,N/A,₹126.26,₹126.26,₹120.61,5.00%,5%,N/A,2
SASKEN,Sasken Technologies Limited,2026-08-03,N/A,₹1902.30,₹1902.30,₹1902.30,5.00%,5%,"₹239,781 Cr",0
COFFEEDAY,Coffee Day Enterprises Limited,2026-08-03,N/A,₹32.03,₹32.03,₹30.99,4.98%,5%,"₹56,161 Cr",4
JAIBALAJI,Jai Balaji Industries Limited,2026-08-03,N/A,₹60.59,₹60.59,₹57.71,4.99%,5%,"₹458,769 Cr",2
MHLXMIRU,Mahalaxmi Rubtech Limited,2026-08-03,N/A,₹148.33,₹148.33,₹141.90,5.00%,5%,"₹13,075 Cr",1
INDTERRAIN,Indian Terrain Fashions Limited,2026-08-03,N/A,₹33.39,₹33.39,₹28.12,19.98%,20%,"₹14,042 Cr",3
VALIANTORG,Valiant Organics Limited,2026-08-03,N/A,₹280.00,₹280.00,₹265.00,4.99%,5%,"₹65,152 Cr",0
KHAITANLTD,Khaitan (India) Limited,2026-08-03,N/A,₹155.40,₹155.40,₹134.00,20.00%,20%,"₹6,476 Cr",0
CORDSCABLE,Cords Cable Industries Limited,2026-08-03,N/A,₹211.60,₹211.60,₹204.00,5.00%,5%,"₹22,705 Cr",0
MANAKSTEEL,Manaksia Steels Limited,2026-08-03,N/A,₹75.21,₹75.21,₹68.50,9.99%,10%,"₹40,909 Cr",1
MAWANASUG,Mawana Sugars Limited,2026-08-03,N/A,₹109.86,₹109.86,₹107.00,5.00%,5%,"₹35,668 Cr",1
CHEMCON,Chemcon Speciality Chemicals Limited,2026-08-03,N/A,₹184.28,₹184.28,₹177.00,5.00%,5%,"₹55,970 Cr",0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,2026-08-03,N/A,₹81.75,₹81.75,₹77.50,5.00%,5%,"₹19,187 Cr",1
ONMOBILE,OnMobile Global Limited,2026-08-03,N/A,₹66.58,₹66.58,₹64.72,5.00%,5%,"₹58,755 Cr",1
LYKALABS,Lyka Labs Limited,2026-08-03,N/A,₹63.84,₹63.84,₹60.30,5.00%,5%,"₹19,156 Cr",0
AKSHOPTFBR,Aksh Optifibre Limited,2026-08-03,N/A,₹5.71,₹5.71,₹5.47,4.96%,5%,"₹7,711 Cr",1
NECCLTD,North Eastern Carrying Corporation Limited,2026-08-03,N/A,₹15.68,₹15.68,₹15.19,4.95%,5%,"₹13,600 Cr",0
SHYAMTEL,Shyam Telecom Limited,2026-08-03,N/A,₹17.10,₹17.10,₹16.21,4.97%,5%,"₹1,625 Cr",0
