Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
NEWGEN,Newgen Software Technologies Limited,2026-06-02,N/A,₹529.45,₹529.80,₹435.00,19.92%,20%,"₹607,018 Cr",353
CONFIPET,Confidence Petroleum India Limited,2026-06-02,N/A,₹69.81,₹69.81,₹59.95,9.99%,10%,"₹192,508 Cr",46
UNIMECH,UNIMECH AEROSPACE N MFG L,2026-06-02,N/A,₹993.15,₹993.15,₹955.10,5.00%,5%,"₹419,221 Cr",1
DBOL,Dhampur Bio Organics Limited,2026-06-02,N/A,₹112.72,₹112.72,₹106.01,4.99%,5%,"₹61,564 Cr",1
CANARYS,"CANARYS.NS,0P0001RNPL,128000",2026-06-02,N/A,₹22.15,₹22.15,₹20.00,9.93%,10%,"₹25,683 Cr",2
THACKER,Thacker and Company Limited,2026-06-02,N/A,₹1435.20,₹1435.20,₹1350.00,20.00%,20%,N/A,0
VARDMNPOLY,Vardhman Polytex Limited,2026-06-02,N/A,₹6.96,₹6.96,₹6.62,4.98%,5%,"₹27,743 Cr",2
PNC,Pritish Nandy Communications Ltd,2026-06-02,N/A,₹19.98,₹19.98,₹19.00,4.99%,5%,"₹2,399 Cr",0
SMVD,"SMVD.NS,0P0001CGNU,8080",2026-06-02,N/A,₹11.55,₹11.55,₹11.55,5.00%,5%,"₹1,116 Cr",0
