Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
MOLBIO,Molbio Diagnostics Limited,2026-09-10,N/A,₹1509.40,₹1509.40,₹1271.00,19.99%,20%,"₹1,443,729 Cr",113
DIACABS,Diamond Power Infrastructure Limited,2026-09-10,N/A,₹351.50,₹351.50,₹332.20,4.99%,5%,"₹1,744,842 Cr",10
MERCURYEV,Mercury Ev-Tech Limited,2026-09-10,N/A,₹41.61,₹41.61,₹37.73,9.99%,10%,"₹65,610 Cr",38
DIGJAMLMTD,Digjam Limited,2026-09-10,N/A,₹61.84,₹61.84,₹52.97,19.98%,20%,"₹10,265 Cr",7
SSDL,Saraswati Saree Depot Limited,2026-09-10,N/A,₹67.84,₹67.84,₹58.50,19.99%,20%,"₹22,298 Cr",3
GRAVISSHO,Graviss Hospitality Limited,2026-09-10,N/A,₹35.59,₹35.59,₹28.65,19.99%,20%,"₹20,831 Cr",5
VEDAVAAG,Vedavaag Systems Limited,2026-09-10,N/A,₹22.21,₹22.21,₹18.51,19.99%,20%,"₹4,325 Cr",5
EMAMIREAL,Emami Realty Limited,2026-09-10,N/A,₹72.45,₹72.45,₹70.00,5.00%,5%,"₹31,229 Cr",0
LADDERUP,Ladderup Finance Limited,2026-09-10,N/A,₹61.93,₹61.93,₹53.00,20.00%,20%,"₹5,450 Cr",0
ORTINGLOBE,Ortin Global Limited,2026-09-10,N/A,₹16.30,₹16.30,₹15.22,4.96%,5%,"₹1,100 Cr",0
