Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
IDEAFORGE,ideaForge Technology Limited,2026-05-04,N/A,₹731.00,₹731.00,₹682.60,19.99%,20%,"₹262,710 Cr",77
DBREALTY,Valor Estate Limited,2026-05-04,N/A,₹124.28,₹124.28,₹107.01,20.00%,20%,"₹559,506 Cr",172
STANLEY,STANLEY LIFESTYLES LTD,2026-05-04,N/A,₹166.35,₹166.35,₹139.25,20.00%,20%,"₹78,874 Cr",30
IFBAGRO,IFB Agro Industries Limited,2026-05-04,N/A,₹1039.60,₹1039.60,₹895.55,20.00%,20%,"₹80,826 Cr",5
GOPAL,Gopal Snacks Limited,2026-05-04,N/A,₹298.85,₹298.85,₹272.00,9.99%,10%,"₹309,185 Cr",7
MSPL,MSP Steel & Power Limited,2026-05-04,N/A,₹37.28,₹37.28,₹35.51,4.98%,5%,"₹175,239 Cr",18
OMAXAUTO,Omax Autos Limited,2026-05-04,N/A,₹156.10,₹156.10,₹156.10,19.99%,20%,"₹27,780 Cr",4
MANORG,Mangalam Organics Limited,2026-05-04,N/A,₹547.70,₹547.70,₹467.70,19.99%,20%,"₹38,173 Cr",1
MEIL,MANGAL ELECTRICAL IND L,2026-05-04,N/A,₹314.35,₹314.35,₹301.95,4.99%,5%,"₹72,090 Cr",1
PRECOT,Precot Limited,2026-05-04,N/A,₹575.75,₹575.75,₹541.10,5.00%,5%,"₹57,345 Cr",0
NAHARSPING,Nahar Spinning Mills Limited,2026-05-04,N/A,₹254.83,₹254.83,₹245.27,5.00%,5%,"₹76,281 Cr",0
SANGINITA,Sanginita Chemicals Limited,2026-05-04,N/A,₹21.24,₹21.24,₹19.35,4.99%,5%,"₹4,566 Cr",3
MHHL,"MHHL.NS,0P00016IUL,94500",2026-05-04,N/A,₹42.90,₹42.90,₹39.45,10.00%,10%,"₹8,635 Cr",0
PKTEA,The Peria Karamalai Tea and Produce Company Limited,2026-05-04,N/A,₹869.00,₹869.00,₹805.00,10.00%,10%,"₹22,330 Cr",0
LOYALTEX,Loyal Textile Mills Limited,2026-05-04,N/A,₹213.15,₹213.15,₹208.90,5.00%,5%,"₹8,500 Cr",0
MEP,MEP Infrastructure Developers Limited,2026-05-04,N/A,₹1.02,₹1.02,₹1.02,2.00%,2%,"₹1,553 Cr",0
