Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
FCL,Fineotex Chemical Limited,2026-09-07,N/A,₹56.66,₹56.66,₹52.19,10.00%,10%,"₹547,639 Cr",420
MVGJL,Manoj Vaibhav Gems 'N' Jewellers Limited,2026-09-07,N/A,₹215.88,₹215.88,₹181.00,20.00%,20%,"₹87,525 Cr",32
NRL,Nupur Recyclers Limited,2026-09-07,N/A,₹133.26,₹133.26,₹125.00,5.00%,5%,"₹76,119 Cr",3
ASAHISONG,Asahi Songwon Colors Limited,2026-09-07,N/A,₹391.25,₹391.25,₹373.20,4.99%,5%,"₹38,268 Cr",0
PRLIND,Premier Roadlines Limited,2026-09-07,N/A,₹45.60,₹45.65,₹39.75,19.84%,20%,"₹24,802 Cr",3
PKTEA,The Peria Karamalai Tea and Produce Company Limited,2026-09-07,N/A,₹963.15,₹963.15,₹808.00,20.00%,20%,"₹24,749 Cr",0
PARAGON,Paragon Fine and Speciality Chemical Limited,2026-09-07,N/A,₹57.00,₹57.00,₹48.50,20.00%,20%,"₹22,086 Cr",2
ALKALI,Alkali Metals Limited,2026-09-07,N/A,₹78.66,₹78.66,₹68.00,20.00%,20%,"₹6,648 Cr",1
ZEAL,Zeal Global Services Limited,2026-09-07,N/A,₹78.60,₹78.60,₹65.50,20.00%,20%,"₹20,934 Cr",0
CHEMBONDCH,Chembond Chemicals Limited,2026-09-07,N/A,₹267.15,₹267.15,₹253.00,4.99%,5%,"₹59,639 Cr",0
