Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
SMLMAH,SML MAHINDRA LIMITED,2026-07-29,N/A,₹4566.00,₹4566.00,₹3805.00,20.00%,20%,"₹548,444 Cr",5
AXISCADES,AXISCADES Technologies Limited,2026-07-29,N/A,₹1565.70,₹1565.70,₹1489.10,5.00%,5%,"₹552,736 Cr",1
KALPATARU,KALPATARU LIMITED,2026-07-29,N/A,₹297.40,₹297.40,₹274.15,9.99%,10%,"₹508,302 Cr",6
SIGMA,Sigma Solve Limited,2026-07-29,N/A,₹45.06,₹45.06,₹37.67,20.00%,20%,"₹38,421 Cr",18
ALMONDZ,Almondz Global Securities Limited,2026-07-29,N/A,₹15.07,₹15.07,₹13.00,19.98%,20%,"₹21,877 Cr",28
BODALCHEM,Bodal Chemicals Limited,2026-07-29,N/A,₹71.53,₹71.53,₹66.15,4.99%,5%,"₹74,773 Cr",3
AVONMORE,Avonmore Capital & Management Services Limited,2026-07-29,N/A,₹10.98,₹10.98,₹9.14,20.00%,20%,"₹25,717 Cr",9
KESORAMIND,Kesoram Industries Limited,2026-07-29,N/A,₹11.57,₹11.57,₹10.62,4.99%,5%,"₹29,318 Cr",9
A2ZINFRA,A2Z Infra Engineering Limited,2026-07-29,N/A,₹13.26,₹13.26,₹12.32,9.95%,10%,"₹19,538 Cr",3
KRITI,Kriti Industries (India) Limited,2026-07-29,N/A,₹68.78,₹68.78,₹65.20,4.99%,5%,"₹30,083 Cr",0
NIMBSPROJ,Nimbus Projects Limited,2026-07-29,N/A,₹196.35,₹196.35,₹183.00,5.00%,5%,"₹29,560 Cr",0
VIVO,"VIVO.NS,0P0001O4TY,1600",2026-07-29,N/A,₹85.25,₹85.25,₹85.25,4.99%,5%,"₹1,355 Cr",0
