Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
LGEINDIA,LG ELECTRONICS INDIA LTD,2026-08-14,N/A,₹1736.10,₹1736.10,₹1611.00,10.00%,10%,"₹9,744,802 Cr",98
GALAXYSURF,Galaxy Surfactants Limited,2026-08-14,N/A,₹2508.40,₹2508.40,₹2391.20,20.00%,20%,"₹738,158 Cr",6
TIL,TIL Limited,2026-08-14,N/A,₹238.95,₹238.95,₹224.45,4.99%,5%,"₹163,510 Cr",2
KOHINOOR,Kohinoor Foods Limited,2026-08-14,N/A,₹27.72,₹27.72,₹22.97,20.00%,20%,"₹8,529 Cr",10
ABSMARINE,"ABSMARINE.NS,0P0001SWTJ,135000",2026-08-14,N/A,₹234.45,₹234.45,₹223.95,4.99%,5%,"₹67,039 Cr",1
OSWALSEEDS,ShreeOswal Seeds and Chemicals Limited,2026-08-14,N/A,₹12.15,₹12.15,₹11.00,19.94%,20%,"₹9,224 Cr",10
BI,Bilcare Limited,2026-08-14,N/A,₹76.81,₹76.81,₹68.50,20.00%,20%,N/A,1
SAAKSHI,"SAAKSHI.NS,0P0001RNFO,11400",2026-08-14,N/A,₹296.10,₹296.10,₹275.25,5.00%,5%,"₹39,794 Cr",0
KDL,"KDL.NS,0P0001R3KN,9800",2026-08-14,N/A,₹96.35,₹96.35,₹88.00,9.99%,10%,"₹162,074 Cr",0
GINNIFILA,Ginni Filaments Limited,2026-08-14,N/A,₹45.20,₹45.22,₹43.00,4.95%,5%,"₹32,012 Cr",0
