Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
GOKEX,Gokaldas Exports Limited,2026-02-04,N/A,₹832.85,₹832.85,₹751.25,20.00%,20%,"₹506,282 Cr",142
FAZE3Q,Faze Three Limited,2026-02-04,N/A,₹529.90,₹529.90,₹501.85,20.00%,20%,"₹106,748 Cr",16
MIDWESTLTD,MIDWEST LIMITED,2026-02-04,N/A,₹1502.30,₹1502.30,₹1337.00,9.99%,10%,"₹450,892 Cr",2
PRECOT,Precot Limited,2026-02-04,N/A,₹472.20,₹472.20,₹425.00,20.00%,20%,"₹47,031 Cr",2
NGLFINE,NGL Fine-Chem Limited,2026-02-04,N/A,₹2164.20,₹2164.20,₹2010.00,20.00%,20%,"₹112,013 Cr",0
EMKAY,Emkay Global Financial Services Limited,2026-02-04,N/A,₹258.20,₹258.20,₹234.75,9.99%,10%,"₹56,219 Cr",1
SALSTEEL,S.A.L. Steel Limited,2026-02-04,N/A,₹41.27,₹41.27,₹39.50,4.99%,5%,"₹37,394 Cr",1
TIJARIA,Tijaria Polypipes Limited,2026-02-04,N/A,₹5.18,₹5.18,₹4.23,19.91%,20%,"₹1,265 Cr",4
ODIGMA,Odigma Consultancy Solutions Limited,2026-02-04,N/A,₹29.05,₹29.05,₹27.70,4.99%,5%,"₹7,537 Cr",0
PNC,Pritish Nandy Communications Ltd,2026-02-04,N/A,₹25.76,₹25.76,₹23.42,9.99%,10%,"₹3,093 Cr",0
SYNOPTICS,"SYNOPTICS.NS,0P0001R8HV,3000",2026-02-04,N/A,₹50.55,₹50.55,₹50.55,4.98%,5%,"₹7,341 Cr",0
