Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
UFLEX,Uflex Limited,2026-08-17,N/A,₹586.05,₹586.05,₹545.00,19.99%,20%,"₹351,252 Cr",37
UTLSOLAR,FUJIYAMA POWER SYSTEMS L,2026-08-17,N/A,₹466.20,₹466.20,₹425.20,9.99%,10%,"₹1,182,959 Cr",16
PAKKA,Pakka Limited,2026-08-17,N/A,₹89.28,₹89.28,₹75.89,20.00%,20%,"₹35,323 Cr",18
SANGINITA,Sanginita Chemicals Limited,2026-08-17,N/A,₹56.70,₹56.70,₹55.08,5.00%,5%,"₹12,190 Cr",11
AMANTA,AMANTA HEALTHCARE LIMITED,2026-08-17,N/A,₹164.14,₹164.14,₹150.01,5.00%,5%,"₹52,896 Cr",2
RUBYMILLS,The Ruby Mills Limited,2026-08-17,N/A,₹382.45,₹382.45,₹353.10,5.00%,5%,"₹106,150 Cr",0
VERA,"VERA.NS,0P0001D4J8,28500",2026-08-17,N/A,₹82.15,₹82.15,₹78.25,4.98%,5%,"₹2,816 Cr",0
GREENCHEF,"GREENCHEF.NS,0P0001R7SA,39200",2026-08-17,N/A,₹52.40,₹52.40,₹48.60,9.97%,10%,"₹14,564 Cr",0
DHRUV,Dhruv Consultancy Services Limited,2026-08-17,N/A,₹25.16,₹25.16,₹23.10,4.96%,5%,"₹3,958 Cr",0
NORBTEAEXP,Norben Tea & Exports Limited,2026-08-17,N/A,₹66.17,₹66.17,₹63.00,5.00%,5%,"₹8,537 Cr",0
