Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
SCI,The Shipping Corporation of India Limited,2026-02-09,N/A,₹266.16,₹266.16,₹241.55,20.00%,20%,"₹1,025,491 Cr",718
GANECOS,Ganesha Ecosphere Limited,2026-02-09,N/A,₹821.60,₹821.60,₹694.00,19.99%,20%,"₹182,685 Cr",24
THANGAMAYL,Thangamayil Jewellery Limited,2026-02-09,N/A,₹3740.20,₹3740.20,₹3309.00,10.00%,10%,"₹960,230 Cr",2
JAYBARMARU,Jay Bharat Maruti Limited,2026-02-09,N/A,₹101.22,₹101.22,₹90.52,20.00%,20%,"₹90,944 Cr",32
MIRCELECTR,MIRC Electronics Limited,2026-02-09,N/A,₹35.76,₹35.76,₹32.75,10.00%,10%,"₹110,110 Cr",22
TAINWALCHM,Tainwala Chemicals and Plastics (India) Limited,2026-02-09,N/A,₹203.79,₹203.79,₹171.50,20.00%,20%,"₹15,839 Cr",2
SOMICONVEY,Somi Conveyor Beltings Limited,2026-02-09,N/A,₹119.19,₹119.19,₹107.51,19.99%,20%,"₹11,735 Cr",1
SANGINITA,Sanginita Chemicals Limited,2026-02-09,N/A,₹12.73,₹12.73,₹10.82,19.98%,20%,"₹2,704 Cr",4
GAYAPROJ,Gayatri Projects Limited,2026-02-09,N/A,₹12.70,₹12.70,₹12.70,4.96%,5%,"₹19,984 Cr",2
LRRPL,"LRRPL.NS,0P0001QGEI,21000",2026-02-09,N/A,₹66.15,₹66.15,₹65.95,5.00%,5%,"₹2,011 Cr",0
GFSTEELS,Grand Foundry Limited,2026-02-09,N/A,₹11.78,₹11.78,₹11.78,4.99%,5%,"₹2,975 Cr",0
