Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
UFBL,UNITED FOODBRANDS LIMITED,2026-05-20,N/A,₹400.80,₹400.80,₹326.70,20.00%,20%,"₹130,026 Cr",43
KDDL,KDDL Limited,2026-05-20,N/A,₹2614.20,₹2614.20,₹2450.40,20.00%,20%,"₹266,868 Cr",2
BOROSCI,Borosil Scientific Limited,2026-05-20,N/A,₹143.25,₹143.25,₹118.87,19.99%,20%,"₹105,195 Cr",18
JAYBARMARU,Jay Bharat Maruti Limited,2026-05-20,N/A,₹103.27,₹103.27,₹96.99,20.00%,20%,"₹92,786 Cr",21
WANBURY,Wanbury Limited,2026-05-20,N/A,₹271.00,₹271.00,₹261.00,5.00%,5%,"₹78,560 Cr",1
PRECOT,Precot Limited,2026-05-20,N/A,₹716.00,₹716.00,₹660.00,9.99%,10%,"₹71,314 Cr",0
MAGNUM,Magnum Ventures Limited,2026-05-20,N/A,₹20.69,₹20.69,₹19.51,4.97%,5%,"₹11,674 Cr",4
MANUGRAPH,Manugraph India Limited,2026-05-20,N/A,₹14.82,₹14.82,₹14.40,9.94%,10%,"₹3,855 Cr",0
BNAGROCHEM,BN Agrochem Limited,2026-05-20,N/A,₹307.59,₹307.59,₹292.95,5.00%,5%,N/A,0
BLUECHIP,Blue Chip India Limited,2026-05-20,N/A,₹2.05,₹2.05,₹2.05,1.99%,2%,₹941 Cr,0
