Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
UNICHEMLAB,Unichem Laboratories Limited,2026-06-10,N/A,₹455.55,₹455.55,₹376.60,19.99%,20%,"₹255,602 Cr",43
ATALREAL,Atal Realtech Limited,2026-06-10,N/A,₹29.65,₹29.66,₹25.47,19.94%,20%,"₹30,490 Cr",259
ELITECON,Elitecon International Limited,2026-06-10,N/A,₹32.41,₹32.41,₹26.82,19.99%,20%,N/A,75
GRANDOAK,Grand Oak Canyons Distillery Limited,2026-06-10,N/A,₹37.93,₹37.93,₹32.51,19.99%,20%,N/A,16
SUMEETINDS,Sumeet Industries Limited,2026-06-10,N/A,₹27.71,₹27.72,₹26.30,4.96%,5%,"₹119,872 Cr",9
NECCLTD,North Eastern Carrying Corporation Limited,2026-06-10,N/A,₹18.01,₹18.01,₹15.30,19.99%,20%,"₹14,948 Cr",10
VASCONEQ,Vascon Engineers Limited,2026-06-10,N/A,₹33.08,₹33.08,₹31.10,4.98%,5%,"₹63,777 Cr",2
