Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
FIRSTCRY,BRAINBEES SOLUTIONS LTD,2026-03-20,N/A,₹252.07,₹252.07,₹210.29,20.00%,20%,"₹1,010,215 Cr",704
GUJALKALI,Gujarat Alkalies and Chemicals Limited,2026-03-20,N/A,₹583.80,₹583.80,₹471.00,20.00%,20%,"₹328,273 Cr",236
WEBELSOLAR,Websol Energy System Limited,2026-03-20,N/A,₹74.85,₹74.85,₹63.10,19.99%,20%,"₹262,209 Cr",598
HARDWYN,Hardwyn India Limited,2026-03-20,N/A,₹18.81,₹18.81,₹18.00,4.97%,5%,"₹76,572 Cr",10
DRONE,"DRONE.NS,0P0001RA9W,70000",2026-03-20,N/A,₹45.45,₹45.45,₹42.20,9.92%,10%,"₹70,274 Cr",0
KARNIKA,"KARNIKA.NS,0P0001RNO9,8800",2026-03-20,N/A,₹113.85,₹113.85,₹109.00,4.98%,5%,"₹160,214 Cr",0
