Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
GALLANTT,Gallantt Ispat Limited,2026-04-15,N/A,₹814.60,₹814.60,₹670.50,20.00%,20%,"₹1,582,380 Cr",212
YATRA,Yatra Online Limited,2026-04-15,N/A,₹123.50,₹123.50,₹105.02,20.00%,20%,"₹159,740 Cr",139
CARRARO,CARRARO INDIA LIMITED,2026-04-15,N/A,₹586.00,₹586.00,₹499.00,20.00%,20%,"₹276,515 Cr",15
INDOTECH,Indo Tech Transformers Limited,2026-04-15,N/A,₹1716.90,₹1716.90,₹1474.90,20.00%,20%,"₹151,338 Cr",2
AIMTRON,"AIMTRON.NS,0P0001T33D,126400",2026-04-15,N/A,₹971.65,₹971.65,₹908.00,10.00%,10%,"₹92,393 Cr",1
HINDCOMPOS,Hindustan Composites Limited,2026-04-15,N/A,₹491.80,₹491.80,₹440.00,20.00%,20%,"₹60,286 Cr",1
SALSTEEL,S.A.L. Steel Limited,2026-04-15,N/A,₹54.38,₹54.38,₹48.49,9.99%,10%,"₹65,341 Cr",11
AARTECH,Aartech Solonics Limited,2026-04-15,N/A,₹52.75,₹52.75,₹43.43,20.00%,20%,"₹13,902 Cr",9
VINYLINDIA,Vinyl Chemicals (India) Limited,2026-04-15,N/A,₹266.28,₹266.28,₹220.21,20.00%,20%,"₹40,661 Cr",1
RUDRA,Rudra Global Infra Products Limited,2026-04-15,N/A,₹21.91,₹21.91,₹18.22,19.99%,20%,"₹18,248 Cr",15
VERTOZ,Vertoz Limited,2026-04-15,N/A,₹49.18,₹49.18,₹45.27,10.00%,10%,"₹34,776 Cr",2
ELGIRUBCO,Elgi Rubber Company Limited,2026-04-15,N/A,₹48.97,₹48.97,₹40.81,20.00%,20%,"₹20,343 Cr",1
SWASTIK,"SWASTIK.NS,0P0001PTBC,12000",2026-04-15,N/A,₹21.10,₹21.10,₹18.95,19.89%,20%,"₹13,044 Cr",0
