Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
TATACAP,TATA CAPITAL LIMITED,2026-06-19,N/A,₹379.95,₹379.95,₹342.60,9.99%,10%,"₹12,837,468 Cr",479
PANAMAPET,Panama Petrochem Limited,2026-06-19,N/A,₹489.90,₹489.90,₹409.20,20.00%,20%,"₹242,638 Cr",105
EBGNG,GNG ELECTRONICS LIMITED,2026-06-19,N/A,₹501.95,₹501.95,₹469.90,9.99%,10%,"₹474,993 Cr",17
SIGACHI,Sigachi Industries Limited,2026-06-19,N/A,₹23.03,₹23.03,₹21.86,4.97%,5%,"₹72,858 Cr",18
WAAREEINDO,Indosolar Limited,2026-06-19,N/A,₹416.50,₹416.50,₹390.60,4.99%,5%,"₹143,822 Cr",1
AMANTA,AMANTA HEALTHCARE LIMITED,2026-06-19,N/A,₹156.39,₹156.39,₹145.50,4.99%,5%,"₹50,402 Cr",1
MAHASTEEL,Mahamaya Steel Industries Limited,2026-06-19,N/A,₹831.15,₹831.15,₹776.20,5.00%,5%,"₹113,230 Cr",0
MANAKSTEEL,Manaksia Steels Limited,2026-06-19,N/A,₹72.60,₹72.60,₹69.12,4.99%,5%,"₹39,381 Cr",1
GUJRAFFIA,Gujarat Raffia Industries Limited,2026-06-19,N/A,₹42.74,₹42.75,₹40.30,4.96%,5%,N/A,0
