Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
VEDPOWER,N/A,2026-06-17,N/A,₹42.00,₹42.00,₹39.00,5.00%,5%,"₹1,360,989 Cr",661
BLUSPRING,Bluspring Enterprises Limited,2026-06-17,N/A,₹110.18,₹110.18,₹92.49,20.00%,20%,"₹135,633 Cr",122
WELSPLSOL,Welspun Specialty Solutions Limited,2026-06-17,N/A,₹59.91,₹59.91,₹55.49,9.99%,10%,N/A,49
GALLANTT,Gallantt Ispat Limited,2026-06-17,N/A,₹713.20,₹713.20,₹679.80,5.00%,5%,"₹1,428,277 Cr",3
SASKEN,Sasken Technologies Limited,2026-06-17,N/A,₹2407.20,₹2407.20,₹2190.20,10.00%,10%,"₹303,422 Cr",1
EIFFL,Euro India Fresh Foods Limited,2026-06-17,N/A,₹298.57,₹298.57,₹249.88,20.00%,20%,"₹61,458 Cr",3
PANACHE,Panache Digilife Limited,2026-06-17,N/A,₹411.30,₹411.30,₹380.00,9.99%,10%,"₹51,973 Cr",1
SHERA,"SHERA.NS,0P0001QG0K,301000",2026-06-17,N/A,₹161.70,₹161.70,₹154.90,5.00%,5%,"₹36,486 Cr",0
RSSOFTWARE,R S Software (India) Limited,2026-06-17,N/A,₹33.21,₹33.21,₹30.65,5.00%,5%,"₹7,120 Cr",1
MADHUCON,Madhucon Projects Limited,2026-06-17,N/A,₹6.63,₹6.63,₹6.26,9.95%,10%,"₹4,061 Cr",3
NIRAJ,Niraj Cement Structurals Limited,2026-06-17,N/A,₹31.00,₹31.00,₹31.00,4.98%,5%,"₹15,359 Cr",0
HMT,HMT Limited,2026-06-17,N/A,₹58.73,₹58.73,₹58.49,4.99%,5%,"₹586,945 Cr",0
