Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
VISL,VEDANTA IRON AND STEEL L,2026-06-30,N/A,₹35.66,₹35.66,₹32.45,9.99%,10%,"₹1,144,406 Cr","2,353"
SETL,Standard Engineering Technology Limited,2026-06-30,N/A,₹256.77,₹256.77,₹247.27,10.00%,10%,"₹44,538 Cr",16
MHLXMIRU,Mahalaxmi Rubtech Limited,2026-06-30,N/A,₹121.13,₹121.13,₹115.55,10.00%,10%,"₹10,677 Cr",4
INDOWIND,Indowind Energy Limited,2026-06-30,N/A,₹9.52,₹9.52,₹9.00,4.96%,5%,"₹12,682 Cr",24
VELJAN,Veljan Denison Limited,2026-06-30,N/A,₹1431.60,₹1431.60,₹1191.00,20.00%,20%,N/A,0
NGIL,Nakoda Group of Industries Limited,2026-06-30,N/A,₹39.84,₹39.84,₹37.00,4.98%,5%,"₹5,854 Cr",0
SMARTLINK,Smartlink Holdings Limited,2026-06-30,N/A,₹180.25,₹180.25,₹171.67,5.00%,5%,"₹14,904 Cr",0
KCEIL,"KCEIL.NS,0P0001S4DX,40000",2026-06-30,N/A,₹80.25,₹80.25,₹75.80,4.97%,5%,"₹33,594 Cr",0
MILTON,"MILTON.NS,0P0001BSZ5,0",2026-06-30,N/A,₹39.90,₹39.90,₹39.90,5.00%,5%,"₹5,600 Cr",0
