Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
YASHO,Yasho Industries Limited,2026-07-31,N/A,₹3858.70,₹3858.70,₹3225.00,20.00%,20%,"₹385,998 Cr",3
TRANSPEK,Transpek Industry Limited,2026-07-31,N/A,₹1321.30,₹1321.30,₹1123.75,20.00%,20%,"₹61,256 Cr",3
QPOWER,QUALITY POWER ELEC EQUP L,2026-07-31,N/A,₹1133.30,₹1133.30,₹1085.10,4.99%,5%,"₹728,469 Cr",1
DEEDEV,DEE DEVELOPMENT ENG LTD,2026-07-31,N/A,₹678.55,₹678.55,₹646.00,5.00%,5%,"₹423,746 Cr",1
DCI,DC Infotech and Communication Limited,2026-07-31,N/A,₹332.10,₹332.10,₹273.95,20.00%,20%,"₹44,879 Cr",1
UEL,Ujaas Energy Limited,2026-07-31,N/A,₹153.73,₹153.73,₹133.40,20.00%,20%,"₹170,210 Cr",2
INVPRECQ,Investment & Precision Castings Limited,2026-07-31,N/A,₹1099.55,₹1099.55,₹1027.50,5.00%,5%,N/A,0
ONIDA,Onida Electronics Limited,2026-07-31,N/A,₹39.54,₹39.54,₹37.40,4.99%,5%,"₹121,228 Cr",4
MICEL,MIC Electronics Limited,2026-07-31,N/A,₹38.40,₹38.40,₹36.50,4.98%,5%,"₹76,755 Cr",4
BIRLACABLE,Birla Cable Limited,2026-07-31,N/A,₹203.81,₹203.81,₹196.00,5.00%,5%,"₹50,749 Cr",1
RBS,"RBS.NS,0P0001SQ7F,28800",2026-07-31,N/A,₹90.20,₹90.20,₹81.95,10.00%,10%,"₹17,647 Cr",1
VPRPL,Vishnu Prakash R Punglia Limited,2026-07-31,N/A,₹27.06,₹27.06,₹25.56,4.97%,5%,"₹28,075 Cr",1
ZODIAC,Zodiac Energy Limited,2026-07-31,N/A,₹251.65,₹251.65,₹233.60,4.99%,5%,N/A,0
VMSTMT,VMS TMT LIMITED,2026-07-31,N/A,₹45.32,₹45.32,₹42.50,4.98%,5%,"₹18,397 Cr",0
GREENCHEF,"GREENCHEF.NS,0P0001R7SA,39200",2026-07-31,N/A,₹51.45,₹51.45,₹49.45,5.00%,5%,"₹14,564 Cr",0
FMNL,Future Market Networks Limited,2026-07-31,N/A,₹9.67,₹9.67,₹9.00,4.99%,5%,"₹5,248 Cr",1
