Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
KRONOX,KRONOX LAB SCIENCES LTD,2026-08-20,N/A,₹186.19,₹186.19,₹155.01,20.00%,20%,"₹57,340 Cr",59
CORDELIA,WATERWAYS LEISURE TOUR L,2026-08-20,N/A,₹907.75,₹907.75,₹820.55,10.00%,10%,"₹545,444 Cr",7
MYSORPETRO,Mysore Petro Chemicals Limited,2026-08-20,N/A,₹165.49,₹165.49,₹155.30,20.00%,20%,N/A,4
PRIZOR,"PRIZOR.NS,0P0001TBGW,1345600",2026-08-20,N/A,₹925.50,₹925.50,₹900.00,5.00%,5%,"₹16,168 Cr",0
ROCKINGDCE,"ROCKINGDCE.NS,0P0001RY99,37250",2026-08-20,N/A,₹190.50,₹190.60,₹154.20,19.92%,20%,"₹34,553 Cr",0
MINALIND,Minal Industries Ltd,2026-08-20,N/A,₹2.65,₹2.65,₹2.23,19.91%,20%,N/A,3
REPL,Rudrabhishek Enterprises Limited,2026-08-20,N/A,₹63.18,₹63.18,₹61.45,4.99%,5%,"₹9,503 Cr",0
MPDL,MPDL Limited,2026-08-20,N/A,₹34.32,₹34.32,₹23.26,20.00%,20%,N/A,0
KJMCFIN,KJMC Financial Services Limited,2026-08-20,N/A,₹66.42,₹66.42,₹61.90,20.00%,20%,N/A,0
SHIVAMAUTO,Shivam Autotech Limited,2026-08-20,N/A,₹16.08,₹16.08,₹15.39,4.96%,5%,"₹17,720 Cr",0
