Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
JBMA,JBM Auto Limited,2026-03-18,N/A,₹590.60,₹590.60,₹496.20,19.99%,20%,"₹1,148,265 Cr",443
MMTC,MMTC Limited,2026-03-18,N/A,₹63.79,₹63.79,₹53.20,20.00%,20%,"₹780,938 Cr","1,257"
STLTECH,Sterlite Technologies Limited,2026-03-18,N/A,₹193.77,₹193.77,₹175.06,10.00%,10%,"₹782,304 Cr",138
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,2026-03-18,N/A,₹238.56,₹238.56,₹216.38,10.00%,10%,"₹1,370,876 Cr",42
VALIANTORG,Valiant Organics Limited,2026-03-18,N/A,₹237.16,₹237.16,₹202.02,20.00%,20%,"₹55,306 Cr",4
UFBL,UNITED FOODBRANDS LIMITED,2026-03-18,N/A,₹221.41,₹221.41,₹202.50,10.00%,10%,"₹71,829 Cr",1
MAANALU,Maan Aluminium Limited,2026-03-18,N/A,₹131.09,₹131.09,₹123.50,5.00%,5%,"₹58,958 Cr",1
SURANI,"SURANI.NS,0P0001FKJ4,7600",2026-03-18,N/A,₹59.85,₹59.85,₹49.80,19.94%,20%,"₹42,180 Cr",0
TNTELE,Tamilnadu Telecommunications Limited,2026-03-18,N/A,₹9.15,₹9.15,₹7.81,9.98%,10%,"₹3,450 Cr",0
SHIVAUM,SHIV AUM STEELS LIMITED,2026-03-18,N/A,₹307.95,₹308.00,₹297.55,9.98%,10%,"₹34,768 Cr",0
AUSOMENT,AuSom Enterprise Limited,2026-03-18,N/A,₹102.60,₹102.60,₹98.00,4.99%,5%,"₹11,551 Cr",0
FALCONTECH,"FALCONTECH.NS,0P0001T7MB,15600",2026-03-18,N/A,₹11.65,₹11.65,₹11.65,4.95%,5%,"₹3,146 Cr",0
