Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
INDOMIM,INDO-MIM Limited,2026-09-21,N/A,₹1161.45,₹1161.45,₹1065.25,10.00%,10%,"₹4,766,813 Cr",44
PROTEAN,Protean eGov Technologies Limited,2026-09-21,N/A,₹588.35,₹588.35,₹491.50,20.00%,20%,"₹199,137 Cr",80
AHCL,Anlon Healthcare Limited,2026-09-21,N/A,₹27.48,₹27.48,₹23.15,20.00%,20%,"₹115,760 Cr","1,302"
EMBDL,Embassy Developments Limited,2026-09-21,N/A,₹59.26,₹59.26,₹53.88,9.99%,10%,"₹679,430 Cr",60
IDEAFORGE,ideaForge Technology Limited,2026-09-21,N/A,₹766.05,₹766.05,₹731.60,5.00%,5%,"₹316,057 Cr",5
SILVERTUC,Silver Touch Technologies Limited,2026-09-21,N/A,₹160.90,₹160.90,₹142.52,9.99%,10%,"₹169,140 Cr",12
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,2026-09-21,N/A,₹627.70,₹627.70,₹519.80,20.00%,20%,"₹89,427 Cr",3
TANAA,Taneja Aerospace and Aviation Limited,2026-09-21,N/A,₹319.60,₹319.60,₹266.35,19.99%,20%,N/A,2
MOS,MOS Utility Limited,2026-09-21,N/A,₹6.05,₹6.05,₹6.05,10.00%,10%,"₹401,603 Cr",66
ONIDA,Onida Electronics Limited,2026-09-21,N/A,₹34.53,₹34.53,₹32.62,4.99%,5%,"₹105,232 Cr",10
INDOAMIN,Indo Amines Limited,2026-09-21,N/A,₹132.87,₹132.87,₹124.68,4.99%,5%,"₹80,051 Cr",1
ARVEE,Arvee Laboratories (India) Ltd.,2026-09-21,N/A,₹208.87,₹208.87,₹174.93,20.00%,20%,"₹19,105 Cr",1
SCPL,Sheetal Cool Products Limited,2026-09-21,N/A,₹653.20,₹653.20,₹611.30,5.00%,5%,"₹56,926 Cr",0
PRESSTONIC,Presstonic Engineering Limited,2026-09-21,N/A,₹35.90,₹35.90,₹30.50,19.87%,20%,"₹14,345 Cr",1
UCAL,UCAL Limited,2026-09-21,N/A,₹145.05,₹145.05,₹142.00,4.99%,5%,"₹26,623 Cr",0
DTIL,Dhunseri Tea & Industries Limited,2026-09-21,N/A,₹145.34,₹145.34,₹136.00,5.00%,5%,"₹12,674 Cr",0
BASML,Bannari Amman Spinning Mills Ltd,2026-09-21,N/A,₹24.64,₹24.64,₹23.70,4.99%,5%,"₹16,345 Cr",1
LRRPL,Lead Reclaim and Rubber Products Limited,2026-09-21,N/A,₹94.50,₹94.50,₹89.55,5.00%,5%,"₹2,011 Cr",0
INSPIRISYS,Inspirisys Solutions Limited,2026-09-21,N/A,₹87.31,₹87.31,₹85.40,4.99%,5%,"₹28,657 Cr",0
PEARLPOLY,Pearl Polymers Limited,2026-09-21,N/A,₹17.94,₹17.94,₹17.07,4.97%,5%,"₹2,507 Cr",0
CMICABLES,CMI Limited,2026-09-21,N/A,₹2.75,₹2.75,₹2.50,4.96%,5%,₹366 Cr,0
