Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
JITFINFRA,JITF Infralogistics Limited,2026-06-23,N/A,₹317.35,₹317.35,₹297.65,10.00%,10%,"₹67,704 Cr",0
UCL,"UCL.NS,0P0001E37S,82000",2026-06-23,N/A,₹171.05,₹171.05,₹163.95,4.97%,5%,"₹5,563 Cr",0
GRCL,"GRCL.NS,0P0001QE4W,1500",2026-06-23,N/A,₹570.15,₹570.15,₹543.00,5.00%,5%,"₹17,619 Cr",0
SLONE,"SLONE.NS,0P0001SVQP,17600",2026-06-23,N/A,₹151.20,₹151.20,₹132.95,20.00%,20%,"₹6,997 Cr",0
KHAITANLTD,Khaitan (India) Limited,2026-06-23,N/A,₹134.55,₹134.55,₹125.35,4.99%,5%,"₹5,607 Cr",0
