Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
BAJEL,Bajel Projects Limited,2026-03-16,N/A,₹167.95,₹167.95,₹148.00,20.00%,20%,"₹161,442 Cr",334
DPEL,"DPEL.NS,0P0001T8MW,69000",2026-03-16,N/A,₹326.70,₹326.70,₹300.00,10.00%,10%,"₹20,909 Cr",2
GAYAPROJ,Gayatri Projects Limited,2026-03-16,N/A,₹13.33,₹13.33,₹13.33,4.96%,5%,"₹20,975 Cr",7
SEMAC,Semac Construction Limited,2026-03-16,N/A,₹236.81,₹236.81,₹209.01,10.00%,10%,"₹6,263 Cr",0
BAFNAPH,Bafna Pharmaceuticals Limited,2026-03-16,N/A,₹104.11,₹104.11,₹94.77,4.99%,5%,"₹21,049 Cr",0
