Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
INDNIPPON,India Nippon Electricals Limited,2026-09-09,N/A,₹1346.70,₹1346.70,₹1111.20,19.99%,20%,"₹246,582 Cr",16
NOVARTIND,Novartis India Limited,2026-09-09,N/A,₹2186.40,₹2186.40,₹1851.00,20.00%,20%,"₹448,067 Cr",8
ELLEN,Ellenbarrie Industrial Gases Limited,2026-09-09,N/A,₹355.05,₹355.05,₹324.20,9.99%,10%,"₹415,325 Cr",30
GOACARBON,Goa Carbon Limited,2026-09-09,N/A,₹463.50,₹463.50,₹400.00,20.00%,20%,"₹35,205 Cr",12
HLEGLAS,HLE Glascoat Limited,2026-09-09,N/A,₹367.95,₹367.95,₹333.05,10.00%,10%,"₹212,114 Cr",8
SREEL,Sreeleathers Limited,2026-09-09,N/A,₹345.01,₹345.01,₹287.50,20.00%,20%,"₹66,306 Cr",6
SHIVALIK,Shivalik Rasayan Limited,2026-09-09,N/A,₹384.90,₹384.90,₹318.30,20.00%,20%,"₹50,452 Cr",5
BALPHARMA,Bal Pharma Limited,2026-09-09,N/A,₹114.45,₹114.45,₹95.10,19.99%,20%,"₹15,124 Cr",8
ANMOL,Anmol India Limited,2026-09-09,N/A,₹13.65,₹13.65,₹11.05,19.95%,20%,"₹6,439 Cr",20
PPL,Prakash Pipes Limited,2026-09-09,N/A,₹287.75,₹287.75,₹273.00,5.00%,5%,"₹57,094 Cr",1
KANORICHEM,Kanoria Chemicals & Industries Limited,2026-09-09,N/A,₹166.84,₹166.84,₹161.55,5.00%,5%,"₹60,491 Cr",1
HEXAGON,Hexagon Nutrition Limited,2026-09-09,N/A,₹67.42,₹67.42,₹62.50,5.00%,5%,"₹68,783 Cr",2
CFEL,Confidence Futuristic Energetech Limited,2026-09-09,N/A,₹38.65,₹38.65,₹32.05,19.99%,20%,N/A,1
AVG,AVG Logistics Limited,2026-09-09,N/A,₹173.84,₹173.84,₹163.90,4.99%,5%,"₹26,987 Cr",0
MEDICAPQ,Medi-Caps Limited,2026-09-09,N/A,₹30.74,₹30.74,₹26.99,19.98%,20%,"₹3,182 Cr",1
EMAMIREAL,Emami Realty Limited,2026-09-09,N/A,₹69.48,₹69.48,₹65.30,4.99%,5%,"₹29,800 Cr",0
