Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
TBZ,Tribhovandas Bhimji Zaveri Limited,2026-09-01,N/A,₹366.80,₹366.80,₹313.10,19.99%,20%,"₹203,157 Cr",141
IZMO,IZMO Limited,2026-09-01,N/A,₹916.30,₹916.30,₹818.40,10.00%,10%,"₹113,930 Cr",4
DEEDEV,DEE Development Engineers Limited,2026-09-01,N/A,₹619.80,₹619.80,₹580.30,5.00%,5%,"₹387,057 Cr",4
JINDALPOLY,Jindal Poly Films Limited,2026-09-01,N/A,₹694.45,₹694.45,₹620.10,9.99%,10%,"₹252,382 Cr",1
PAR,Par Drugs and Chemicals Limited,2026-09-01,N/A,₹140.82,₹140.82,₹118.52,20.00%,20%,"₹14,359 Cr",6
EFFWA,Effwa Infra & Research Limited,2026-09-01,N/A,₹336.00,₹336.00,₹332.80,5.00%,5%,"₹42,075 Cr",0
SRIKPRIND,Sri KPR Industries Limited,2026-09-01,N/A,₹25.35,₹25.35,₹21.13,19.97%,20%,N/A,1
ICDSLTD,ICDS Limited,2026-09-01,N/A,₹49.22,₹49.22,₹39.51,19.99%,20%,"₹5,322 Cr",0
SOMATEX,Soma Textiles & Industries Limited,2026-09-01,N/A,₹84.14,₹84.14,₹81.70,4.99%,5%,"₹23,726 Cr",0
ALKALI,Alkali Metals Limited,2026-09-01,N/A,₹67.41,₹67.41,₹64.89,5.00%,5%,"₹5,697 Cr",0
DBSTOCKBRO,DB (International) Stock Brokers Limited,2026-09-01,N/A,₹30.47,₹30.47,₹28.91,5.00%,5%,"₹8,849 Cr",0
RITEZONE,Rite Zone Chemcon India Limited,2026-09-01,N/A,₹17.90,₹17.90,₹17.90,4.99%,5%,"₹1,369 Cr",0
