Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
SUPRIYA,Supriya Lifescience Limited,2026-05-29,N/A,₹968.70,₹968.70,₹848.05,20.00%,20%,"₹647,099 Cr",58
CPPLUS,ADITYA INFOTECH LIMITED,2026-05-29,N/A,₹2903.50,₹2903.50,₹2821.10,10.00%,10%,"₹2,840,085 Cr",9
TBZ,Tribhovandas Bhimji Zaveri Limited,2026-05-29,N/A,₹165.49,₹165.49,₹146.30,20.00%,20%,"₹91,659 Cr",63
COFFEEDAY,Coffee Day Enterprises Limited,2026-05-29,N/A,₹34.78,₹34.78,₹31.70,19.97%,20%,"₹60,983 Cr",276
SUDEEPPHRM,SUDEEP PHARMA LIMITED,2026-05-29,N/A,₹742.15,₹742.15,₹680.90,10.00%,10%,"₹695,746 Cr",9
JSWHL,JSW Holdings Limited,2026-05-29,N/A,₹13230.00,₹13232.00,₹12498.00,4.98%,5%,"₹1,213,826 Cr",0
ABSMARINE,"ABSMARINE.NS,0P0001SWTJ,135000",2026-05-29,N/A,₹285.50,₹285.60,₹267.00,4.96%,5%,"₹67,039 Cr",2
SWANDEF,SWAN DEFENCE N HEVY IND L,2026-05-29,N/A,₹2060.20,₹2060.20,₹1950.10,5.00%,5%,"₹900,847 Cr",0
BEDMUTHA,Bedmutha Industries Limited,2026-05-29,N/A,₹113.40,₹113.40,₹110.00,5.00%,5%,"₹30,367 Cr",0
DEEM,"DEEM.NS,0P0001SEV0,4000",2026-05-29,N/A,₹47.40,₹47.40,₹41.00,20.00%,20%,"₹6,782 Cr",0
