Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
DIACABS,Diamond Power Infrastructure Limited,2026-05-14,N/A,₹191.99,₹191.99,₹174.51,10.00%,10%,"₹839,737 Cr",195
BALAMINES,Balaji Amines Limited,2026-05-14,N/A,₹1623.40,₹1623.40,₹1496.00,19.99%,20%,"₹436,578 Cr",18
AMNPLST,Amines & Plasticizers Limited,2026-05-14,N/A,₹202.09,₹202.09,₹174.90,20.00%,20%,"₹92,059 Cr",4
MODINATUR,Modi Naturals Limited,2026-05-14,N/A,₹447.40,₹447.40,₹435.00,19.99%,20%,"₹49,379 Cr",1
BLACKROSE,Black Rose Industries Limited,2026-05-14,N/A,₹102.92,₹102.92,₹100.62,20.00%,20%,N/A,2
SSFL,"SSFL.NS,0P0001RG1Z,37000",2026-05-14,N/A,₹112.95,₹112.95,₹96.05,19.97%,20%,"₹19,807 Cr",2
SHANKARA,Shankara Building Products Limited,2026-05-14,N/A,₹110.64,₹110.64,₹102.77,4.99%,5%,"₹22,268 Cr",2
GSLSU,Global Surfaces Limited,2026-05-14,N/A,₹56.51,₹56.51,₹52.00,5.00%,5%,"₹19,783 Cr",2
ESFL,"ESFL.NS,0P0001R76T,10200",2026-05-14,N/A,₹130.85,₹130.85,₹124.35,4.97%,5%,"₹32,110 Cr",0
KAMOPAINTS,Kamdhenu Ventures Limited,2026-05-14,N/A,₹5.49,₹5.49,₹5.11,4.97%,5%,"₹14,855 Cr",3
