Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
GENESYS,Genesys International Corporation Limited,2026-08-25,N/A,₹214.25,₹214.25,₹181.30,19.99%,20%,"₹108,916 Cr",42
INFINIUM,"INFINIUM.NS,0P0001QQ8H,15000",2026-08-25,N/A,₹244.30,₹244.30,₹226.85,10.00%,10%,"₹28,836 Cr",0
PENINLAND,Peninsula Land Limited,2026-08-25,N/A,₹17.08,₹17.08,₹16.50,4.98%,5%,"₹46,339 Cr",3
HMT,HMT Limited,2026-08-25,N/A,₹64.01,₹64.01,₹59.00,4.99%,5%,"₹639,713 Cr",1
KANCHI,Kanchi Karpooram Limited,2026-08-25,N/A,₹392.30,₹392.30,₹382.30,4.99%,5%,N/A,0
BAFNAPH,Bafna Pharmaceuticals Limited,2026-08-25,N/A,₹267.25,₹267.25,₹255.00,4.99%,5%,"₹52,474 Cr",0
VERTOZ,Vertoz Limited,2026-08-25,N/A,₹40.32,₹40.32,₹38.90,5.00%,5%,"₹28,523 Cr",1
VLEGOV,VL E-Governance & IT Solutions Limited,2026-08-25,N/A,₹10.71,₹10.71,₹10.50,5.00%,5%,"₹9,641 Cr",0
MUKESHB,Mukesh Babu Financial Services Limited,2026-08-25,N/A,₹144.90,₹144.90,₹138.00,5.00%,5%,"₹8,384 Cr",0
