Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
AAKASH,Aakash Exploration Services Limited,2026-03-05,N/A,₹11.90,₹11.90,₹10.12,19.96%,20%,"₹10,000 Cr",57
SCHNEIDER,Schneider Electric Infrastructure Limited,2026-03-05,N/A,₹874.35,₹874.35,₹832.75,5.00%,5%,"₹1,735,203 Cr",1
ELGIRUBCO,Elgi Rubber Company Limited,2026-03-05,N/A,₹45.90,₹45.90,₹40.00,20.00%,20%,"₹19,068 Cr",8
AIMTRON,"AIMTRON.NS,0P0001T33D,126400",2026-03-05,N/A,₹766.15,₹766.15,₹734.00,5.00%,5%,"₹92,393 Cr",0
CENTEXT,Century Extrusions Limited,2026-03-05,N/A,₹20.72,₹20.72,₹17.41,19.98%,20%,"₹14,013 Cr",4
HALDER,Halder Venture Limited,2026-03-05,N/A,₹254.15,₹254.15,₹245.90,5.00%,5%,N/A,0
BESTAGRO,Best Agrolife Limited,2026-03-05,N/A,₹15.42,₹15.42,₹14.82,4.97%,5%,"₹45,699 Cr",3
BLBLIMITED,BLB Limited,2026-03-05,N/A,₹17.61,₹17.61,₹16.45,4.95%,5%,"₹7,750 Cr",1
ABAN,Aban Offshore Limited,2026-03-05,N/A,₹21.24,₹21.24,₹20.65,4.99%,5%,"₹10,289 Cr",0
MANGALAM,Mangalam Drugs & Organics Limited,2026-03-05,N/A,₹30.73,₹30.73,₹30.73,4.99%,5%,"₹4,049 Cr",0
MODTHREAD,Modern Threads (India) Limited,2026-03-05,N/A,₹43.39,₹43.39,₹37.00,19.99%,20%,"₹12,524 Cr",0
GUJRAFFIA,Gujarat Raffia Industries Limited,2026-03-05,N/A,₹37.22,₹37.22,₹36.45,4.99%,5%,N/A,0
