Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
GODFRYPHLP,Godfrey Phillips India Limited,2026-02-18,N/A,₹2478.90,₹2478.90,₹2066.10,20.00%,20%,"₹3,207,751 Cr",113
NDLVENTURE,NDL Ventures Limited,2026-02-18,N/A,₹116.98,₹116.98,₹106.16,19.99%,20%,"₹32,693 Cr",5
GOKUL,Gokul Refoils & Solvent Limited,2026-02-18,N/A,₹40.28,₹40.28,₹33.73,19.99%,20%,"₹33,096 Cr",12
KNAGRI,KN AGRI RESOURCES LIMITED,2026-02-18,N/A,₹180.22,₹180.22,₹148.30,19.99%,20%,"₹37,394 Cr",2
KANDARP,"KANDARP.NS,0P0001PQC1,28000",2026-02-18,N/A,₹159.50,₹159.50,₹138.00,10.00%,10%,"₹2,689 Cr",1
AKASH,Akash Infra-Projects Limited,2026-02-18,N/A,₹28.72,₹28.72,₹23.94,19.97%,20%,"₹4,008 Cr",4
ESCONET,"ESCONET.NS,0P0001SEEF,52800",2026-02-18,N/A,₹119.95,₹119.95,₹110.65,10.00%,10%,"₹32,828 Cr",1
PRABHA,Prabha Energy Limited,2026-02-18,N/A,₹162.41,₹162.41,₹148.10,10.00%,10%,"₹186,820 Cr",0
HITECHGEAR,The Hi-Tech Gears Limited,2026-02-18,N/A,₹674.50,₹674.50,₹630.00,5.00%,5%,"₹105,901 Cr",0
SADHNANIQ,Sadhana Nitro Chem Limited,2026-02-18,N/A,₹1.66,₹1.66,₹1.66,9.93%,10%,"₹16,837 Cr",3
NORBTEAEXP,Norben Tea & Exports Limited,2026-02-18,N/A,₹89.04,₹89.04,₹84.95,5.00%,5%,"₹11,482 Cr",0
SAMBHAAV,Sambhaav Media Limited,2026-02-18,N/A,₹8.03,₹8.03,₹7.75,4.97%,5%,"₹12,737 Cr",0
