Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
NIACL,The New India Assurance Company Limited,2026-04-10,N/A,₹155.92,₹155.92,₹131.00,19.99%,20%,"₹2,131,641 Cr",761
INFOBEAN,InfoBeans Technologies Limited,2026-04-10,N/A,₹188.97,₹188.97,₹159.30,20.00%,20%,"₹148,978 Cr",114
HIRECT,Hind Rectifiers Limited,2026-04-10,N/A,₹847.40,₹847.40,₹715.00,19.99%,20%,"₹239,725 Cr",18
ABDL,ALLIED BLEND N DISTILS L,2026-04-10,N/A,₹513.20,₹513.20,₹470.10,10.00%,10%,"₹1,182,620 Cr",21
DEEDEV,DEE DEVELOPMENT ENG LTD,2026-04-10,N/A,₹343.50,₹343.50,₹316.50,9.99%,10%,"₹197,473 Cr",31
SAATVIKGL,Saatvik Green Energy Limited,2026-04-10,N/A,₹462.45,₹462.45,₹435.15,9.99%,10%,"₹486,975 Cr",22
EBGNG,GNG ELECTRONICS LIMITED,2026-04-10,N/A,₹409.00,₹409.00,₹373.00,9.99%,10%,"₹386,609 Cr",8
BLUEJET,Blue Jet Healthcare Limited,2026-04-10,N/A,₹406.85,₹406.85,₹372.00,9.99%,10%,"₹585,768 Cr",8
UNIMECH,UNIMECH AEROSPACE N MFG L,2026-04-10,N/A,₹856.65,₹856.65,₹789.00,10.00%,10%,"₹361,602 Cr",2
GLOTTIS,GLOTTIS LIMITED,2026-04-10,N/A,₹57.67,₹57.67,₹48.05,20.00%,20%,"₹44,230 Cr",11
DPWIRES,D.P. Wires Limited,2026-04-10,N/A,₹183.43,₹183.43,₹152.86,20.00%,20%,"₹23,599 Cr",1
PARSVNATH,Parsvnath Developers Limited,2026-04-10,N/A,₹8.08,₹8.08,₹6.77,19.88%,20%,"₹29,360 Cr",20
NECLIFE,Nectar Lifesciences Limited,2026-04-10,N/A,₹11.75,₹11.75,₹10.82,9.92%,10%,"₹18,945 Cr",6
ATLASCYCLE,Atlas Cycles (Haryana) Limited,2026-04-10,N/A,₹103.06,₹103.06,₹87.56,19.99%,20%,"₹5,564 Cr",0
ARTNIRMAN,Art Nirman Limited,2026-04-10,N/A,₹49.33,₹49.33,₹41.06,20.00%,20%,"₹10,218 Cr",1
SECMARK,SecMark Consultancy Limited,2026-04-10,N/A,₹132.46,₹132.48,₹110.00,19.98%,20%,"₹11,901 Cr",0
BAWEJA,"BAWEJA.NS,0P0001SBAC,56800",2026-04-10,N/A,₹31.20,₹31.20,₹26.60,20.00%,20%,"₹12,809 Cr",0
ZENITHEXPO,Zenith Exports Limited,2026-04-10,N/A,₹213.44,₹213.44,₹193.06,10.00%,10%,"₹8,853 Cr",0
