Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
STUDDS,STUDDS ACCESSORIES LTD,2026-06-09,N/A,₹527.15,₹527.15,₹440.35,20.00%,20%,"₹170,160 Cr",48
MENONBE,Menon Bearings Limited,2026-06-09,N/A,₹170.90,₹170.90,₹142.15,20.00%,20%,"₹78,984 Cr",29
UNIMECH,UNIMECH AEROSPACE N MFG L,2026-06-09,N/A,₹1149.75,₹1149.75,₹1051.10,10.00%,10%,"₹485,323 Cr",3
SASKEN,Sasken Technologies Limited,2026-06-09,N/A,₹2344.60,₹2344.60,₹2132.50,10.00%,10%,"₹291,725 Cr",1
JINDALPOLY,Jindal Poly Films Limited,2026-06-09,N/A,₹669.90,₹669.90,₹637.55,5.00%,5%,"₹243,460 Cr",1
ORBTEXP,Orbit Exports Limited,2026-06-09,N/A,₹222.00,₹222.00,₹185.00,20.00%,20%,"₹47,716 Cr",1
SSFL,"SSFL.NS,0P0001RG1Z,37000",2026-06-09,N/A,₹212.60,₹212.60,₹198.00,9.98%,10%,"₹19,807 Cr",1
LYKALABS,Lyka Labs Limited,2026-06-09,N/A,₹70.05,₹70.05,₹63.42,9.99%,10%,"₹20,751 Cr",2
GRANDOAK,Grand Oak Canyons Distillery Limited,2026-06-09,N/A,₹32.49,₹32.49,₹25.62,19.98%,20%,N/A,4
ZIMLAB,ZIM Laboratories Limited,2026-06-09,N/A,₹113.05,₹113.05,₹104.50,5.00%,5%,"₹50,246 Cr",1
NIRMAN,"NIRMAN.NS,0P0001QMW0,89400",2026-06-09,N/A,₹45.25,₹45.25,₹40.15,9.96%,10%,"₹27,639 Cr",1
EUROTEXIND,Eurotex Industries and Exports Limited,2026-06-09,N/A,₹18.62,₹18.62,₹15.23,19.97%,20%,"₹1,817 Cr",0
