Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
PRIZOR,"PRIZOR.NS,0P0001TBGW,1345600",2026-08-19,N/A,₹881.45,₹881.45,₹833.00,5.00%,5%,"₹16,168 Cr",0
ONEGLOBAL,One Global Service Provider Ltd,2026-08-19,N/A,₹563.90,₹563.90,₹533.00,5.00%,5%,N/A,0
MYSORPETRO,Mysore Petro Chemicals Limited,2026-08-19,N/A,₹137.91,₹137.91,₹116.00,19.99%,20%,N/A,1
MANBRO,KD Green Industries Limited,2026-08-19,N/A,₹58.41,₹58.41,₹52.80,10.00%,10%,N/A,1
PRESSTONIC,"PRESSTONIC.NS,0P0001S1YY,16000",2026-08-19,N/A,₹34.60,₹34.60,₹28.70,19.93%,20%,"₹8,542 Cr",1
CPS,"CPS.NS,0P0001RJ4S,0",2026-08-19,N/A,₹1113.00,₹1113.00,₹1100.00,5.00%,5%,"₹5,234 Cr",0
TRANSPEK,Transpek Industry Limited,2026-08-19,N/A,₹1189.40,₹1189.40,₹1115.00,5.00%,5%,"₹55,141 Cr",0
SIEL,Superior Industrial Enterprises Ltd,2026-08-19,N/A,₹42.42,₹42.42,₹39.39,9.98%,10%,N/A,0
TECILCHEM,Tecil Chemicals and Hydro Power Ltd.,2026-08-19,N/A,₹10.24,₹10.24,₹8.35,19.91%,20%,"₹1,612 Cr",1
EBIX,Ebix Ltd,2026-08-19,N/A,₹17.91,₹17.91,₹17.70,4.98%,5%,N/A,0
