Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
GOLDIAM,Goldiam International Limited,2026-07-10,N/A,₹378.45,₹378.45,₹317.20,19.99%,20%,"₹472,358 Cr",100
EMSLIMITED,EMS Limited,2026-07-10,N/A,₹461.20,₹461.20,₹420.00,9.99%,10%,"₹211,164 Cr",27
ELLEN,ELLENBARRIE INDUS GASES L,2026-07-10,N/A,₹294.25,₹294.25,₹267.60,10.00%,10%,"₹344,203 Cr",17
NBIFIN,N.B.I. Industrial Finance Company Limited,2026-07-10,N/A,₹2305.90,₹2305.90,₹1949.90,20.00%,20%,"₹56,442 Cr",0
LANCORHOL,Lancor Holdings Limited,2026-07-10,N/A,₹27.50,₹27.50,₹25.00,10.00%,10%,"₹16,788 Cr",8
KCK,"KCK.NS,0P0001PANE,12000",2026-07-10,N/A,₹15.45,₹15.45,₹14.60,9.96%,10%,"₹112,969 Cr",13
OCCLLTD,OCCL Limited,2026-07-10,N/A,₹126.06,₹126.06,₹120.00,5.00%,5%,"₹51,409 Cr",1
TERASOFT,Tera Software Limited,2026-07-10,N/A,₹398.75,₹398.75,₹372.55,4.99%,5%,"₹41,410 Cr",0
ATMASTCO,"ATMASTCO.NS,0P0001SEJZ,69600",2026-07-10,N/A,₹161.85,₹161.85,₹154.15,5.00%,5%,"₹62,821 Cr",0
SHEMAROO,Shemaroo Entertainment Limited,2026-07-10,N/A,₹128.82,₹128.82,₹121.00,5.00%,5%,"₹30,704 Cr",0
GEECEE,GeeCee Ventures Limited,2026-07-10,N/A,₹348.95,₹348.95,₹332.00,4.99%,5%,"₹60,566 Cr",0
VAISHALI,Vaishali Pharma Limited,2026-07-10,N/A,₹7.56,₹7.56,₹7.22,5.00%,5%,"₹8,186 Cr",1
SHARDUL,Shardul Securities Limited,2026-07-10,N/A,₹33.60,₹33.60,₹28.01,20.00%,20%,N/A,0
