Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
AVADHSUGAR,Avadh Sugar & Energy Limited,2026-09-25,N/A,₹796.50,₹796.50,₹720.65,10.00%,10%,"₹132,341 Cr",5
ADSL,Allied Digital Services Limited,2026-09-25,N/A,₹115.52,₹115.52,₹97.00,20.00%,20%,"₹54,318 Cr",22
VIDYAWIRES,Vidya Wires Limited,2026-09-25,N/A,₹90.54,₹90.54,₹85.10,5.00%,5%,"₹159,834 Cr",18
BPLPHARMA,Bharat Parenterals Limited,2026-09-25,N/A,₹1898.00,₹1898.00,₹1570.10,20.00%,20%,N/A,0
ESAFSFB,ESAF Small Finance Bank,2026-09-25,N/A,₹42.86,₹42.86,₹40.50,5.00%,5%,"₹183,604 Cr",12
XELPMOC,Xelpmoc Design and Tech Limited,2026-09-25,N/A,₹89.50,₹89.50,₹75.10,19.99%,20%,"₹11,017 Cr",1
HINDCON,Hindcon Chemicals Limited,2026-09-25,N/A,₹27.63,₹27.63,₹24.68,9.99%,10%,"₹11,727 Cr",2
MADHUSUDAN,Madhusudan Masala Limited,2026-09-25,N/A,₹235.50,₹235.50,₹229.00,4.99%,5%,"₹20,498 Cr",0
RETAIL,JHS Svendgaard Retail Ventures Limited,2026-09-25,N/A,₹20.06,₹20.06,₹16.36,19.98%,20%,"₹1,366 Cr",1
RTSPOWR,RTS Power Corporation Limited,2026-09-25,N/A,₹104.59,₹104.59,₹90.00,20.00%,20%,"₹7,959 Cr",0
SCANSTL,Scan Steels Limited,2026-09-25,N/A,₹53.52,₹53.53,₹50.50,4.96%,5%,N/A,0
BMETRICS,Bombay Metrics Supply Chain Limited,2026-09-25,N/A,₹41.40,₹41.40,₹38.85,20.00%,20%,"₹12,673 Cr",0
