Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,2026-04-07,N/A,₹700.00,₹700.00,₹625.55,9.99%,10%,"₹204,393 Cr",8
LIKHITHA,Likhitha Infrastructure Limited,2026-04-07,N/A,₹210.68,₹210.68,₹174.48,20.00%,20%,"₹69,024 Cr",6
CYBERTECH,CyberTech Systems and Software Limited,2026-04-07,N/A,₹131.85,₹131.85,₹109.51,19.99%,20%,"₹33,905 Cr",6
ALPHAGEO,Alphageo (India) Limited,2026-04-07,N/A,₹228.14,₹228.14,₹190.75,20.00%,20%,"₹12,083 Cr",1
UMAEXPORTS,Uma Exports Limited,2026-04-07,N/A,₹25.88,₹25.88,₹21.48,19.98%,20%,"₹7,262 Cr",2
ALKALI,Alkali Metals Limited,2026-04-07,N/A,₹62.52,₹62.52,₹51.71,20.00%,20%,"₹5,284 Cr",1
WOMANCART,"WOMANCART.NS,0P0001RQEO,4800",2026-04-07,N/A,₹176.00,₹176.00,₹165.00,10.00%,10%,"₹14,449 Cr",0
ACCURACY,Accuracy Shipping Limited,2026-04-07,N/A,₹4.89,₹4.89,₹4.05,19.85%,20%,"₹6,111 Cr",5
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,2026-04-07,N/A,₹32.28,₹32.28,₹29.36,9.98%,10%,"₹4,433 Cr",1
LPDC,Landmark Property Development Company Limited,2026-04-07,N/A,₹6.97,₹6.97,₹5.95,19.97%,20%,"₹7,826 Cr",2
CTE,Cambridge Technology Enterprises Limited,2026-04-07,N/A,₹29.76,₹29.76,₹27.34,9.98%,10%,"₹4,755 Cr",0
SONAMAC,"SONAMAC.NS,0P0001SJ17,66000",2026-04-07,N/A,₹41.40,₹41.40,₹36.50,20.00%,20%,"₹22,079 Cr",0
