Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
CONSOFINVT,Consolidated Finvest & Holdings Limited,2026-02-02,N/A,₹196.12,₹196.12,₹161.12,20.00%,20%,"₹52,591 Cr",4
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,2026-02-02,N/A,₹42.13,₹42.13,₹36.86,19.99%,20%,"₹5,786 Cr",9
MANAKSTEEL,Manaksia Steels Limited,2026-02-02,N/A,₹64.38,₹64.39,₹62.39,4.97%,5%,"₹34,877 Cr",1
SALSTEEL,S.A.L. Steel Limited,2026-02-02,N/A,₹38.86,₹38.86,₹35.60,5.00%,5%,"₹33,933 Cr",1
