Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
UNIVCABLES,Universal Cables Limited,2026-08-10,N/A,₹1693.40,₹1693.40,₹1501.70,20.00%,20%,"₹487,651 Cr",19
AARTIPHARM,Aarti Pharmalabs Limited,2026-08-10,N/A,₹823.00,₹823.00,₹763.00,20.00%,20%,"₹619,425 Cr",31
KPL,Kwality Pharmaceuticals Limited,2026-08-10,N/A,₹3134.10,₹3134.10,₹2551.90,20.00%,20%,N/A,4
QPOWER,QUALITY POWER ELEC EQUP L,2026-08-10,N/A,₹1180.30,₹1180.30,₹1170.00,5.00%,5%,"₹758,680 Cr",2
VPRPL,Vishnu Prakash R Punglia Limited,2026-08-10,N/A,₹37.11,₹37.11,₹32.00,19.98%,20%,"₹38,545 Cr",21
OMAXAUTO,Omax Autos Limited,2026-08-10,N/A,₹201.43,₹201.43,₹182.50,10.00%,10%,"₹35,847 Cr",3
ACSTECH,ACS Technologies Limited,2026-08-10,N/A,₹50.60,₹50.60,₹45.01,10.00%,10%,N/A,8
ESCONET,"ESCONET.NS,0P0001SEEF,52800",2026-08-10,N/A,₹165.35,₹165.35,₹140.00,19.99%,20%,"₹32,828 Cr",1
GICL,GLOBE INTL CARRIERS LTD,2026-08-10,N/A,₹20.90,₹20.90,₹19.63,4.97%,5%,"₹19,272 Cr",6
ANLON,"ANLON.NS,0P0001QAIM,6000",2026-08-10,N/A,₹657.85,₹657.85,₹603.60,10.00%,10%,"₹26,271 Cr",0
PANACHE,Panache Digilife Limited,2026-08-10,N/A,₹481.45,₹481.45,₹465.00,4.99%,5%,"₹60,852 Cr",0
OMFREIGHT,OM FREIGHT FORWARDERS LTD,2026-08-10,N/A,₹92.69,₹92.69,₹85.01,5.00%,5%,"₹25,885 Cr",0
UNITEDPOLY,United Polyfab Gujarat Limited,2026-08-10,N/A,₹30.31,₹30.31,₹28.29,4.99%,5%,"₹57,454 Cr",1
NOVAAGRI,Nova Agritech Limited,2026-08-10,N/A,₹24.33,₹24.33,₹23.40,4.96%,5%,"₹18,171 Cr",1
GFSTEELS,Grand Foundry Limited,2026-08-10,N/A,₹15.00,₹15.00,₹15.00,4.97%,5%,"₹3,789 Cr",0
UNIVAFOODS,Univa Foods Limited,2026-08-10,N/A,₹9.03,₹9.03,₹8.70,5.00%,5%,"₹1,073 Cr",0
