Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
OMNI,OMNITECH ENGINEERING LTD,2026-08-05,N/A,₹732.60,₹732.60,₹593.00,20.00%,20%,"₹751,961 Cr",102
SUDEEPPHRM,SUDEEP PHARMA LIMITED,2026-08-05,N/A,₹958.95,₹958.95,₹801.40,10.00%,10%,"₹898,990 Cr",17
ELANTAS,ELANTAS Beck India Limited,2026-08-05,N/A,₹11847.50,₹11847.50,₹10728.00,20.00%,20%,"₹779,563 Cr",0
POWERICA,POWERICA LIMITED,2026-08-05,N/A,₹547.35,₹547.35,₹523.05,5.00%,5%,"₹574,926 Cr",3
MSPL,MSP Steel & Power Limited,2026-08-05,N/A,₹35.89,₹35.89,₹34.22,4.97%,5%,"₹168,841 Cr",18
TREJHARA,Trejhara Solutions Limited,2026-08-05,N/A,₹150.79,₹150.79,₹142.49,9.99%,10%,"₹30,183 Cr",2
APTECHT,Aptech Limited,2026-08-05,N/A,₹98.77,₹98.77,₹93.50,5.00%,5%,"₹47,531 Cr",2
DCMSIL,DCM Shriram International Limited,2026-08-05,N/A,₹82.06,₹82.06,₹77.40,4.99%,5%,"₹59,084 Cr",1
PRITIKAUTO,Pritika Auto Industries Limited,2026-08-05,N/A,₹18.71,₹18.71,₹17.20,4.99%,5%,"₹25,858 Cr",2
PRESSTONIC,"PRESSTONIC.NS,0P0001S1YY,16000",2026-08-05,N/A,₹29.70,₹29.70,₹27.70,10.00%,10%,"₹8,542 Cr",1
ZIMLAB,ZIM Laboratories Limited,2026-08-05,N/A,₹114.48,₹114.48,₹107.00,5.00%,5%,"₹50,977 Cr",0
SIDDHIKA,"SIDDHIKA.NS,0P0001M1FS,3000",2026-08-05,N/A,₹215.35,₹215.35,₹208.00,5.00%,5%,"₹7,816 Cr",0
DUGLOBAL,"DUGLOBAL.NS,0P0001N4GL,40000",2026-08-05,N/A,₹28.75,₹28.75,₹26.55,9.94%,10%,"₹41,988 Cr",0
