Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
GRSE,Garden Reach Shipbuilders & Engineers Limited,2026-04-01,N/A,₹2367.30,₹2367.30,₹2052.00,20.00%,20%,"₹2,243,546 Cr",93
GANECOS,Ganesha Ecosphere Limited,2026-04-01,N/A,₹1022.20,₹1022.20,₹901.65,20.00%,20%,"₹227,218 Cr",38
IDBI,IDBI Bank Limited,2026-04-01,N/A,₹67.65,₹67.65,₹62.87,10.00%,10%,"₹6,038,006 Cr",176
JTLIND,JTL Industries Limited,2026-04-01,N/A,₹48.91,₹48.96,₹42.20,19.88%,20%,"₹158,496 Cr",68
BALUFORGE,Balu Forge Industries Limited,2026-04-01,N/A,₹424.80,₹424.80,₹399.20,9.99%,10%,"₹427,996 Cr",6
LOTUSDEV,SRI LOTUS DEVLPRS N RTY L,2026-04-01,N/A,₹113.12,₹113.12,₹105.92,10.00%,10%,"₹456,549 Cr",19
EASEMYTRIP,Easy Trip Planners Limited,2026-04-01,N/A,₹6.43,₹6.43,₹5.94,9.91%,10%,"₹193,793 Cr",264
RAMASTEEL,Rama Steel Tubes Limited,2026-04-01,N/A,₹3.99,₹3.99,₹3.75,9.92%,10%,"₹54,181 Cr",261
INFOBEAN,InfoBeans Technologies Limited,2026-04-01,N/A,₹136.11,₹136.11,₹127.56,10.00%,10%,"₹109,536 Cr",6
SERVOTECH,Servotech Renewable Power System Limited,2026-04-01,N/A,₹68.54,₹68.54,₹64.10,10.00%,10%,"₹128,310 Cr",11
UNITECH,Unitech Limited,2026-04-01,N/A,₹3.79,₹3.79,₹3.35,19.94%,20%,"₹82,524 Cr",166
MASTERTR,Master Trust Limited,2026-04-01,N/A,₹67.60,₹67.60,₹59.00,19.99%,20%,"₹69,022 Cr",4
SARVESHWAR,Sarveshwar Foods Limited,2026-04-01,N/A,₹3.01,₹3.01,₹2.55,19.92%,20%,"₹30,796 Cr",82
BHAGYANGR,Bhagyanagar India Limited,2026-04-01,N/A,₹151.47,₹151.48,₹140.99,9.99%,10%,"₹40,118 Cr",1
MSPL,MSP Steel & Power Limited,2026-04-01,N/A,₹29.09,₹29.09,₹27.01,9.98%,10%,"₹136,851 Cr",5
SURAJLTD,Suraj Limited,2026-04-01,N/A,₹259.20,₹259.20,₹216.25,20.00%,20%,"₹39,384 Cr",1
OSWALAGRO,Oswal Agro Mills Limited,2026-04-01,N/A,₹40.66,₹40.66,₹36.44,19.98%,20%,"₹45,078 Cr",3
RACE,Race Eco Chain Limited,2026-04-01,N/A,₹103.26,₹103.26,₹90.01,20.00%,20%,"₹14,790 Cr",1
NOVAAGRI,Nova Agritech Limited,2026-04-01,N/A,₹22.10,₹22.10,₹18.42,19.98%,20%,"₹16,512 Cr",5
INTENTECH,Intense Technologies Limited,2026-04-01,N/A,₹84.14,₹84.14,₹73.27,19.99%,20%,"₹16,370 Cr",1
ATMASTCO,"ATMASTCO.NS,0P0001SEJZ,69600",2026-04-01,N/A,₹119.75,₹119.75,₹106.95,19.99%,20%,"₹62,821 Cr",0
GTL,GTL Limited,2026-04-01,N/A,₹6.08,₹6.08,₹5.31,19.92%,20%,"₹7,938 Cr",8
ESSENTIA,Integra Essentia Limited,2026-04-01,N/A,₹1.21,₹1.21,₹1.06,19.80%,20%,"₹10,705 Cr",37
VLEGOV,VL E-Governance & IT Solutions Limited,2026-04-01,N/A,₹9.47,₹9.47,₹8.42,9.99%,10%,"₹8,546 Cr",4
SAKUMA,Sakuma Exports Limited,2026-04-01,N/A,₹1.33,₹1.33,₹1.15,19.82%,20%,"₹17,387 Cr",28
AVPINFRA,"AVPINFRA.NS,0P0001SKGX,219200",2026-04-01,N/A,₹86.10,₹86.10,₹84.00,9.96%,10%,"₹29,679 Cr",0
BROOKS,Brooks Laboratories Limited,2026-04-01,N/A,₹44.53,₹44.53,₹38.98,19.99%,20%,"₹10,902 Cr",1
WTICAB,"WTICAB.NS,0P0001SDUB,76000",2026-04-01,N/A,₹91.25,₹91.25,₹79.95,19.99%,20%,"₹55,151 Cr",0
VAISHALI,Vaishali Pharma Limited,2026-04-01,N/A,₹5.85,₹5.85,₹5.00,19.88%,20%,"₹6,335 Cr",6
BALAXI,Balaxi Pharmaceuticals Limited,2026-04-01,N/A,₹18.80,₹18.80,₹16.03,19.97%,20%,"₹8,615 Cr",2
MCLEODRUSS,McLeod Russel India Limited,2026-04-01,N/A,₹31.86,₹31.86,₹31.14,9.98%,10%,"₹27,950 Cr",1
CCCL,Consolidated Construction Consortium Limited,2026-04-01,N/A,₹14.13,₹14.13,₹13.08,9.96%,10%,"₹52,396 Cr",2
NURECA,Nureca Limited,2026-04-01,N/A,₹227.42,₹227.42,₹208.05,10.00%,10%,"₹18,873 Cr",0
BSHSL,Bombay Super Hybrid Seeds Limited,2026-04-01,N/A,₹72.84,₹72.84,₹63.10,20.00%,20%,"₹63,442 Cr",0
CANARYS,"CANARYS.NS,0P0001RNPL,128000",2026-04-01,N/A,₹18.05,₹18.05,₹15.50,19.93%,20%,"₹25,683 Cr",1
NEPHROCARE,"NEPHROCARE.NS,0P0001T9H9,502400",2026-04-01,N/A,₹56.90,₹56.90,₹54.05,9.95%,10%,"₹32,129 Cr",0
URAVIDEF,Uravi Defence and Technology Limited,2026-04-01,N/A,₹123.50,₹123.50,₹113.10,9.99%,10%,"₹11,643 Cr",0
DYNAMIC,"DYNAMIC.NS,0P0001NGLR,107000",2026-04-01,N/A,₹93.15,₹93.15,₹88.00,9.98%,10%,"₹53,544 Cr",0
AIRAN,Airan Limited,2026-04-01,N/A,₹14.11,₹14.11,₹13.00,9.98%,10%,"₹14,641 Cr",1
