Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
DHOOTTRANS,N/A,2026-08-18,N/A,₹1305.75,₹1305.75,₹1165.00,10.00%,10%,N/A,93
INDOMIM,INDO-MIM LIMITED,2026-08-18,N/A,₹952.75,₹952.75,₹905.00,10.00%,10%,"₹3,910,268 Cr",102
PARAS,Paras Defence and Space Technologies Limited,2026-08-18,N/A,₹1527.30,₹1527.30,₹1384.70,10.00%,10%,"₹1,021,573 Cr",54
SUPREMEPWR,"SUPREMEPWR.NS,0P0001S3NK,113000",2026-08-18,N/A,₹230.90,₹230.90,₹195.90,19.98%,20%,"₹63,472 Cr",3
HEXAGON,HEXAGON NUTRITION LIMITED,2026-08-18,N/A,₹66.41,₹66.41,₹63.02,5.00%,5%,N/A,5
PRADPME,Pradeep Metals Limited,2026-08-18,N/A,₹524.00,₹524.05,₹501.55,4.99%,5%,N/A,0
PRAMARA,"PRAMARA.NS,0P0001RJQ5,2000",2026-08-18,N/A,₹116.70,₹116.70,₹104.50,9.99%,10%,"₹14,069 Cr",1
PALREDTEC,Palred Technologies Limited,2026-08-18,N/A,₹55.74,₹55.74,₹51.00,4.99%,5%,"₹5,645 Cr",0
SIMBHALS,Simbhaoli Sugars Limited,2026-08-18,N/A,₹7.17,₹7.17,₹6.85,4.98%,5%,"₹2,526 Cr",1
VERA,"VERA.NS,0P0001D4J8,28500",2026-08-18,N/A,₹86.25,₹86.25,₹86.25,4.99%,5%,"₹2,816 Cr",0
