Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
PYRAMID,Pyramid Technoplast Limited,2026-07-27,N/A,₹197.05,₹197.05,₹165.01,20.00%,20%,"₹59,984 Cr",46
KECL,Kirloskar Electric Company Limited,2026-07-27,N/A,₹137.33,₹137.33,₹126.90,10.00%,10%,"₹75,701 Cr",4
DEEDEV,DEE DEVELOPMENT ENG LTD,2026-07-27,N/A,₹686.10,₹686.10,₹653.45,5.00%,5%,"₹392,446 Cr",1
KODYTECH,"KODYTECH.NS,0P0001RM18,8200",2026-07-27,N/A,₹1345.30,₹1345.30,₹1257.00,10.00%,10%,"₹375,607 Cr",0
BHARATGEAR,Bharat Gears Limited,2026-07-27,N/A,₹127.48,₹127.48,₹120.01,5.00%,5%,"₹16,247 Cr",0
BLACKROSE,Black Rose Industries Limited,2026-07-27,N/A,₹100.77,₹100.77,₹95.98,4.99%,5%,N/A,0
VARDHACRLC,Vardhman Acrylics Limited,2026-07-27,N/A,₹44.04,₹44.04,₹41.80,4.98%,5%,"₹29,376 Cr",0
BEDMUTHA,Bedmutha Industries Limited,2026-07-27,N/A,₹112.23,₹112.23,₹107.00,5.00%,5%,"₹30,041 Cr",0
IL&FSTRANS,IL&FS Transportation Networks Limited,2026-07-27,N/A,₹2.12,₹2.12,₹2.00,4.95%,5%,"₹5,788 Cr",0
GLFL,Gujarat Lease Financing Limited,2026-07-27,N/A,₹5.26,₹5.26,₹4.99,4.99%,5%,"₹1,184 Cr",0
