Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
APARINDS,APAR Industries Limited,2026-02-03,N/A,₹9794.00,₹9795.00,₹9201.50,19.99%,20%,"₹3,253,738 Cr",10
AVANTIFEED,Avanti Feeds Limited,2026-02-03,N/A,₹960.00,₹960.00,₹905.00,20.00%,20%,"₹1,085,901 Cr",62
WELSPUNLIV,Welspun Living Limited,2026-02-03,N/A,₹146.94,₹146.94,₹142.26,20.00%,20%,"₹1,164,056 Cr",326
MOBIKWIK,ONE MOBIKWIK SYSTEMS LTD,2026-02-03,N/A,₹237.87,₹237.87,₹206.12,20.00%,20%,"₹154,455 Cr",108
APEX,Apex Frozen Foods Limited,2026-02-03,N/A,₹352.30,₹352.30,₹328.05,19.99%,20%,"₹91,618 Cr",55
GOLDIAM,Goldiam International Limited,2026-02-03,N/A,₹357.70,₹357.70,₹342.05,19.99%,20%,"₹335,382 Cr",24
AVALON,Avalon Technologies Limited,2026-02-03,N/A,₹1022.70,₹1022.70,₹950.00,20.00%,20%,"₹567,225 Cr",5
ICIL,Indo Count Industries Limited,2026-02-03,N/A,₹286.33,₹286.33,₹285.00,20.00%,20%,"₹470,684 Cr",14
GRWRHITECH,Garware Hi-Tech Films Limited,2026-02-03,N/A,₹3908.60,₹3908.60,₹3908.60,20.00%,20%,"₹754,309 Cr",1
ADFFOODS,ADF Foods Limited,2026-02-03,N/A,₹206.73,₹206.73,₹195.15,20.00%,20%,"₹188,510 Cr",17
CAMLINFINE,Camlin Fine Sciences Limited,2026-02-03,N/A,₹168.85,₹168.85,₹163.00,20.00%,20%,"₹269,201 Cr",16
GOKEX,Gokaldas Exports Limited,2026-02-03,N/A,₹694.05,₹694.05,₹694.05,19.99%,20%,"₹421,907 Cr",3
KITEX,Kitex Garments Limited,2026-02-03,N/A,₹196.48,₹196.48,₹196.48,20.00%,20%,"₹325,538 Cr",9
PARACABLES,Paramount Communications Limited,2026-02-03,N/A,₹39.24,₹39.24,₹37.00,20.00%,20%,"₹99,900 Cr",39
ATLANTAELE,ATLANTA ELECTRICALS LTD,2026-02-03,N/A,₹805.65,₹805.65,₹751.05,9.99%,10%,"₹514,200 Cr",1
IZMO,IZMO Limited,2026-02-03,N/A,₹686.00,₹686.00,₹649.85,10.00%,10%,"₹85,200 Cr",2
POKARNA,Pokarna Limited,2026-02-03,N/A,₹873.05,₹873.05,₹873.05,20.00%,20%,"₹224,895 Cr",1
UNIMECH,UNIMECH AEROSPACE N MFG L,2026-02-03,N/A,₹939.30,₹939.30,₹939.30,9.99%,10%,"₹396,490 Cr",1
NELCAST,Nelcast Limited,2026-02-03,N/A,₹109.16,₹109.16,₹99.00,20.00%,20%,"₹79,045 Cr",5
EBGNG,GNG ELECTRONICS LIMITED,2026-02-03,N/A,₹281.45,₹281.45,₹261.05,9.98%,10%,"₹266,335 Cr",1
FAZE3Q,Faze Three Limited,2026-02-03,N/A,₹441.60,₹441.60,₹441.60,20.00%,20%,"₹88,960 Cr",1
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,2026-02-03,N/A,₹46.34,₹46.34,₹44.00,9.99%,10%,"₹6,364 Cr",3
KANPRPLA,Kanpur Plastipack Limited,2026-02-03,N/A,₹201.57,₹201.57,₹170.11,20.00%,20%,"₹39,841 Cr",1
PRECOT,Precot Limited,2026-02-03,N/A,₹393.50,₹393.50,₹393.50,19.99%,20%,"₹39,193 Cr",0
VGL,VARVEE GLOBAL LIMITED,2026-02-03,N/A,₹134.99,₹135.08,₹127.34,9.93%,10%,"₹28,599 Cr",0
EXCEL,Excel Realty N Infra Limited,2026-02-03,N/A,₹1.27,₹1.27,₹1.22,4.96%,5%,"₹14,978 Cr",51
ASCOM,"ASCOM.NS,0P0001IT9Q,1000",2026-02-03,N/A,₹159.50,₹159.50,₹151.00,4.97%,5%,"₹13,058 Cr",0
SALSTEEL,S.A.L. Steel Limited,2026-02-03,N/A,₹39.32,₹39.32,₹37.60,4.99%,5%,"₹35,618 Cr",1
KODYTECH,"KODYTECH.NS,0P0001RM18,8200",2026-02-03,N/A,₹729.75,₹729.75,₹705.00,5.00%,5%,"₹375,607 Cr",0
VINNY,Vinny Overseas Limited,2026-02-03,N/A,₹1.21,₹1.21,₹1.05,19.80%,20%,"₹4,634 Cr",21
ODIGMA,Odigma Consultancy Solutions Limited,2026-02-03,N/A,₹27.67,₹27.67,₹26.06,4.97%,5%,"₹7,179 Cr",0
SAROJA,"SAROJA.NS,0P0001RJQ6,4800",2026-02-03,N/A,₹36.00,₹36.00,₹35.80,9.92%,10%,"₹1,368 Cr",0
