Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
RSYSTEMS,R Systems International Limited,2026-03-09,N/A,₹310.20,₹310.20,₹261.00,20.00%,20%,"₹293,422 Cr",476
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,2026-03-09,N/A,₹1322.10,₹1322.10,₹1024.50,19.99%,20%,"₹114,732 Cr",23
STYL,SESHAASAI TECHNOLOGIES L,2026-03-09,N/A,₹261.89,₹262.08,₹245.00,9.92%,10%,"₹349,271 Cr",6
CURAA,CURA TECHNOLOGIES LIMITED,2026-03-09,N/A,₹94.18,₹94.18,₹91.28,4.99%,5%,"₹7,886 Cr",0
