Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
RBA,Restaurant Brands Asia Limited,2026-08-04,N/A,₹84.91,₹84.91,₹76.73,20.00%,20%,"₹501,586 Cr","1,148"
MOREPENLAB,Morepen Laboratories Limited,2026-08-04,N/A,₹69.18,₹69.18,₹55.91,20.00%,20%,"₹314,632 Cr",671
BESTAGRO,Best Agrolife Limited,2026-08-04,N/A,₹22.66,₹22.66,₹18.50,19.96%,20%,"₹66,706 Cr",297
BLISSGVS,Bliss GVS Pharma Limited,2026-08-04,N/A,₹489.75,₹489.75,₹469.00,5.00%,5%,"₹431,874 Cr",5
SUBEXLTD,Subex Limited,2026-08-04,N/A,₹13.49,₹13.49,₹12.99,4.98%,5%,"₹62,125 Cr",18
GANESHBE,Ganesh Benzoplast Limited,2026-08-04,N/A,₹119.32,₹119.32,₹115.00,5.00%,5%,"₹71,295 Cr",2
TERASOFT,Tera Software Limited,2026-08-04,N/A,₹408.55,₹408.55,₹385.30,5.00%,5%,"₹42,427 Cr",0
RAMASTEEL,Rama Steel Tubes Limited,2026-08-04,N/A,₹4.43,₹4.43,₹4.21,4.98%,5%,"₹60,156 Cr",33
TOTAL,Total Transport Systems Limited,2026-08-04,N/A,₹62.46,₹62.46,₹51.75,20.00%,20%,"₹8,361 Cr",2
CORDSCABLE,Cords Cable Industries Limited,2026-08-04,N/A,₹222.18,₹222.18,₹211.00,5.00%,5%,"₹23,840 Cr",0
MOHITIND,Mohit Industries Limited,2026-08-04,N/A,₹26.94,₹26.94,₹23.00,20.00%,20%,"₹3,166 Cr",3
KRITINUT,Kriti Nutrients Limited,2026-08-04,N/A,₹81.05,₹81.05,₹73.00,9.99%,10%,"₹33,705 Cr",1
DCMNVL,DCM Nouvelle Limited,2026-08-04,N/A,₹149.69,₹149.69,₹138.30,4.99%,5%,"₹23,206 Cr",0
PLAZACABLE,Plaza Wires Limited,2026-08-04,N/A,₹46.21,₹46.21,₹44.15,5.00%,5%,"₹16,777 Cr",1
MAWANASUG,Mawana Sugars Limited,2026-08-04,N/A,₹115.35,₹115.35,₹115.35,5.00%,5%,"₹37,451 Cr",0
ICDSLTD,ICDS Limited,2026-08-04,N/A,₹43.61,₹43.61,₹39.60,9.99%,10%,"₹4,715 Cr",0
MARINETRAN,"MARINETRAN.NS,0P0001S08P,8000",2026-08-04,N/A,₹14.80,₹14.80,₹14.80,4.96%,5%,"₹2,852 Cr",0
