Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
NOCIL,NOCIL Limited,2026-06-22,N/A,₹190.82,₹190.82,₹165.09,20.00%,20%,"₹264,535 Cr",266
KIRLOSENG,Kirloskar Oil Engines Limited,2026-06-22,N/A,₹2389.80,₹2389.80,₹2200.00,20.00%,20%,"₹2,883,661 Cr",18
POWERICA,POWERICA LIMITED,2026-06-22,N/A,₹620.35,₹620.35,₹585.30,4.99%,5%,"₹651,604 Cr",11
JAIBALAJI,Jai Balaji Industries Limited,2026-06-22,N/A,₹71.36,₹71.36,₹67.97,4.99%,5%,"₹540,316 Cr",4
SIGACHI,Sigachi Industries Limited,2026-06-22,N/A,₹24.09,₹24.09,₹22.95,4.97%,5%,"₹76,477 Cr",11
MAWANASUG,Mawana Sugars Limited,2026-06-22,N/A,₹114.88,₹114.88,₹109.00,5.00%,5%,"₹37,207 Cr",2
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,2026-06-22,N/A,₹87.78,₹87.78,₹83.00,5.00%,5%,"₹20,655 Cr",2
SPCENET,Spacenet Enterprises India Limited,2026-06-22,N/A,₹3.88,₹3.88,₹3.61,9.92%,10%,"₹18,283 Cr",10
VILINBIO,"VILINBIO.NS,0P0001R6LO,0",2026-06-22,N/A,₹48.35,₹48.35,₹46.55,4.99%,5%,"₹2,084 Cr",0
KRITINUT,Kriti Nutrients Limited,2026-06-22,N/A,₹85.80,₹85.80,₹81.00,4.99%,5%,"₹35,681 Cr",0
BROOKS,Brooks Laboratories Limited,2026-06-22,N/A,₹70.01,₹70.01,₹70.01,4.99%,5%,"₹17,117 Cr",0
