Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
BHARATWIRE,Bharat Wire Ropes Limited,2026-04-17,N/A,₹221.96,₹221.96,₹185.00,20.00%,20%,"₹126,351 Cr",137
KRITINUT,Kriti Nutrients Limited,2026-04-17,N/A,₹88.00,₹88.00,₹76.00,19.99%,20%,"₹36,660 Cr",4
AKIKO,"AKIKO.NS,0P0001T8E9,51200",2026-04-17,N/A,₹223.30,₹223.30,₹220.00,4.98%,5%,"₹6,861 Cr",1
KAPSTON,Kapston Services Limited,2026-04-17,N/A,₹308.95,₹308.95,₹294.00,5.00%,5%,"₹78,037 Cr",0
OILCOUNTUB,Oil Country Tubular Limited,2026-04-17,N/A,₹55.86,₹55.86,₹46.55,20.00%,20%,"₹24,104 Cr",2
DJML,DJ Mediaprint & Logistics Limited,2026-04-17,N/A,₹92.62,₹92.62,₹88.00,5.00%,5%,"₹26,486 Cr",0
AKSHOPTFBR,Aksh Optifibre Limited,2026-04-17,N/A,₹5.67,₹5.67,₹5.38,5.00%,5%,"₹7,657 Cr",4
PEARLPOLY,Pearl Polymers Limited,2026-04-17,N/A,₹21.39,₹21.39,₹17.41,19.97%,20%,"₹2,989 Cr",1
NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd.,2026-04-17,N/A,₹30.12,₹30.12,₹24.55,20.00%,20%,"₹3,351 Cr",1
HBSL,HB Stockholdings Limited,2026-04-17,N/A,₹64.98,₹64.98,₹57.60,9.99%,10%,"₹3,855 Cr",0
