Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
RAMCOSYS,Ramco Systems Limited,2026-05-22,N/A,₹469.90,₹469.90,₹413.05,19.99%,20%,"₹146,488 Cr",27
LAXMIDENTL,LAXMI DENTAL LIMITED,2026-05-22,N/A,₹249.28,₹249.28,₹236.10,20.00%,20%,"₹113,718 Cr",36
OCCLLTD,OCCL Limited,2026-05-22,N/A,₹116.14,₹116.14,₹111.19,19.99%,20%,"₹48,150 Cr",12
FISCHER,Fischer Medical Ventures Limited,2026-05-22,N/A,₹36.49,₹36.49,₹34.55,4.98%,5%,"₹198,177 Cr",10
RCDL,"RCDL.NS,0P0001RQEL,36000",2026-05-22,N/A,₹26.40,₹26.40,₹25.05,20.00%,20%,"₹7,007 Cr",1
NIRMAN,"NIRMAN.NS,0P0001QMW0,89400",2026-05-22,N/A,₹50.50,₹50.50,₹48.15,4.99%,5%,"₹27,639 Cr",0
DUCON,Ducon Infratechnologies Limited,2026-05-22,N/A,₹3.36,₹3.36,₹3.26,5.00%,5%,"₹9,062 Cr",2
GOLDSTAR,Goldstar Power Limited,2026-05-22,N/A,₹7.40,₹7.40,₹7.35,4.96%,5%,"₹24,673 Cr",1
GUJRAFFIA,Gujarat Raffia Industries Limited,2026-05-22,N/A,₹41.25,₹41.25,₹38.86,10.00%,10%,N/A,0
