Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
QUADFUTURE,QUADRANT FUTURE TEK LTD,2026-08-21,N/A,₹405.35,₹405.35,₹339.00,20.00%,20%,"₹134,576 Cr",75
FCL,Fineotex Chemical Limited,2026-08-21,N/A,₹47.90,₹47.90,₹43.43,9.99%,10%,"₹458,428 Cr",345
SHANTIGEAR,Shanthi Gears Limited,2026-08-21,N/A,₹464.25,₹464.25,₹395.00,19.99%,20%,"₹295,702 Cr",20
BLUSPRING,Bluspring Enterprises Limited,2026-08-21,N/A,₹129.75,₹129.75,₹117.72,9.99%,10%,"₹160,047 Cr",25
KAMDHENU,Kamdhenu Limited,2026-08-21,N/A,₹35.34,₹35.34,₹33.65,4.99%,5%,"₹82,402 Cr",9
TIRUPATIFL,Tirupati Forge Limited,2026-08-21,N/A,₹69.69,₹69.69,₹66.00,4.99%,5%,"₹68,348 Cr",3
NKIND,N.K Industries Limited,2026-08-21,N/A,₹67.92,₹67.92,₹58.10,20.00%,20%,"₹3,373 Cr",3
VIRAT,Virat Industries Ltd,2026-08-21,N/A,₹401.70,₹401.70,₹330.00,20.00%,20%,N/A,1
SUPTANERY,Super Tannery Limited,2026-08-21,N/A,₹8.77,₹8.77,₹7.31,19.97%,20%,"₹7,859 Cr",20
NDL,Nandan Denim Limited,2026-08-21,N/A,₹2.71,₹2.71,₹2.25,19.91%,20%,"₹32,423 Cr",60
S&SPOWER,S&S Power Switchgear Limited,2026-08-21,N/A,₹298.85,₹298.85,₹271.70,9.99%,10%,"₹30,613 Cr",0
SAB,SAB Industries Ltd,2026-08-21,N/A,₹178.50,₹178.50,₹170.00,5.00%,5%,N/A,0
