Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
WHEELS,Wheels India Limited,2026-09-08,N/A,₹2106.40,₹2106.40,₹1760.90,20.00%,20%,"₹427,165 Cr",39
ASTEC,Astec LifeSciences Limited,2026-09-08,N/A,₹662.80,₹662.80,₹551.20,20.00%,20%,"₹122,580 Cr",13
CORDSCABLE,Cords Cable Industries Limited,2026-09-08,N/A,₹376.00,₹376.00,₹303.00,19.99%,20%,"₹39,996 Cr",19
TCC,TCC Concept Limited,2026-09-08,N/A,₹49.29,₹49.29,₹39.37,19.99%,20%,N/A,69
BHAGYANGR,Bhagyanagar India Limited,2026-09-08,N/A,₹392.05,₹392.05,₹380.00,4.99%,5%,"₹108,998 Cr",2
COFFEEDAY,Coffee Day Enterprises Limited,2026-09-08,N/A,₹34.24,₹34.24,₹30.70,9.99%,10%,"₹60,036 Cr",22
STALLION,Stallion India Fluorochemicals Limited,2026-09-08,N/A,₹212.77,₹212.77,₹202.42,5.00%,5%,"₹205,006 Cr",2
RBMINFRA,RBM Infracon Limited,2026-09-08,N/A,₹275.75,₹275.75,₹223.90,20.00%,20%,"₹34,743 Cr",1
CHEMCON,Chemcon Speciality Chemicals Limited,2026-09-08,N/A,₹209.53,₹209.53,₹198.03,5.00%,5%,"₹63,704 Cr",1
ARVEE,Arvee Laboratories (India) Ltd.,2026-09-08,N/A,₹196.71,₹196.71,₹163.61,20.00%,20%,"₹17,721 Cr",1
SIGIND,Signet Industries Limited,2026-09-08,N/A,₹70.25,₹70.25,₹66.58,4.99%,5%,"₹17,074 Cr",0
GKB,GKB Ophthalmics Limited,2026-09-08,N/A,₹71.77,₹71.77,₹65.00,9.99%,10%,"₹2,992 Cr",0
GFSTEELS,Grand Foundry Limited,2026-09-08,N/A,₹16.50,₹16.50,₹16.50,10.00%,10%,"₹4,167 Cr",0
