Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
IFCI,IFCI Limited,2026-06-12,N/A,₹84.57,₹84.57,₹72.30,19.99%,20%,"₹1,891,223 Cr","2,405"
HINDWAREAP,Hindware Home Innovation Limited,2026-06-12,N/A,₹255.61,₹255.61,₹219.99,20.00%,20%,"₹174,809 Cr",109
SPARC,Sun Pharma Advanced Research Company Limited,2026-06-12,N/A,₹224.52,₹224.52,₹205.81,10.00%,10%,"₹602,704 Cr",81
AEROFLEX,Aeroflex Industries Limited,2026-06-12,N/A,₹449.40,₹449.40,₹417.95,10.00%,10%,"₹492,169 Cr",29
NIBE,Nibe Limited,2026-06-12,N/A,₹1578.60,₹1578.60,₹1467.70,10.00%,10%,"₹199,959 Cr",3
BETA,BETA DRUGS LIMITED,2026-06-12,N/A,₹1771.20,₹1771.20,₹1525.00,20.00%,20%,"₹148,400 Cr",2
TVSSCS,TVS Supply Chain Solutions Limited,2026-06-12,N/A,₹132.26,₹132.26,₹122.00,10.00%,10%,"₹484,309 Cr",16
ABINFRA,A B INFRABUILD LIMITED,2026-06-12,N/A,₹10.88,₹10.88,₹9.09,19.96%,20%,"₹57,367 Cr",65
EXXARO,Exxaro Tiles Limited,2026-06-12,N/A,₹7.68,₹7.68,₹6.74,20.00%,20%,"₹28,483 Cr",82
OCCLLTD,OCCL Limited,2026-06-12,N/A,₹129.00,₹129.00,₹122.00,5.00%,5%,"₹53,482 Cr",1
RELCHEMQ,Reliance Chemotex Industries Limited,2026-06-12,N/A,₹143.05,₹143.05,₹119.21,20.00%,20%,"₹8,846 Cr",1
FAZE3Q,Faze Three Limited,2026-06-12,N/A,₹545.30,₹545.30,₹520.35,5.00%,5%,"₹109,850 Cr",0
MASON,"MASON.NS,0P0001T88V,312000",2026-06-12,N/A,₹138.10,₹138.10,₹113.65,19.98%,20%,"₹22,381 Cr",0
LAXMIINDIA,LAXMI INDIA FINANCE LTD,2026-06-12,N/A,₹104.82,₹104.82,₹99.85,5.00%,5%,"₹45,508 Cr",0
GLOBECIVIL,GLOBE CIVIL PROJECTS LTD,2026-06-12,N/A,₹40.38,₹40.38,₹38.56,4.99%,5%,"₹20,015 Cr",0
UMAEXPORTS,Uma Exports Limited,2026-06-12,N/A,₹22.77,₹22.77,₹20.90,4.98%,5%,"₹6,390 Cr",0
SYSTMTXC,Systematix Corporate Services Limited,2026-06-12,N/A,₹66.62,₹66.62,₹63.45,5.00%,5%,"₹75,614 Cr",0
PEARLPOLY,Pearl Polymers Limited,2026-06-12,N/A,₹19.00,₹19.00,₹17.72,4.97%,5%,"₹2,515 Cr",0
CURAA,CURA TECHNOLOGIES LIMITED,2026-06-12,N/A,₹85.33,₹85.33,₹85.30,9.99%,10%,"₹7,012 Cr",0
