Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,2026-02-20,N/A,₹78.52,₹78.52,₹70.65,9.99%,10%,"₹18,479 Cr",6
VLEGOV,VL E-Governance & IT Solutions Limited,2026-02-20,N/A,₹17.17,₹17.17,₹15.59,19.99%,20%,"₹15,495 Cr",27
ITALIANE,"ITALIANE.NS,0P0001SC4D,20000",2026-02-20,N/A,₹39.40,₹39.40,₹32.20,19.94%,20%,"₹4,115 Cr",2
NIFTY100EW,Kotak Mahindra Mutual Fund - Kotak Nifty 100 Equal Weight Etf,2026-02-20,N/A,₹41.00,₹41.41,₹33.90,20.41%,20%,N/A,1
SECURKLOUD,SecureKloud Technologies Limited,2026-02-20,N/A,₹22.38,₹22.38,₹21.29,4.97%,5%,"₹6,206 Cr",0
SELMC,SEL Manufacturing Company Limited,2026-02-20,N/A,₹33.06,₹33.06,₹30.00,4.99%,5%,"₹9,093 Cr",0
HMT,HMT Limited,2026-02-20,N/A,₹47.78,₹47.78,₹47.78,4.99%,5%,"₹477,511 Cr",0
