Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
ANTELOPUS,Antelopus Selan Energy Limited,2026-09-02,N/A,₹951.15,₹951.15,₹807.10,20.00%,20%,"₹277,591 Cr",124
AUGMONT,N/A,2026-09-02,N/A,₹952.85,₹952.85,₹857.05,10.00%,10%,N/A,47
BLUSPRING,Bluspring Enterprises Limited,2026-09-02,N/A,₹133.60,₹133.61,₹120.71,9.99%,10%,"₹164,340 Cr",10
BESTAGRO,Best Agrolife Limited,2026-09-02,N/A,₹18.82,₹18.82,₹18.00,9.99%,10%,"₹55,402 Cr",22
RAJESHEXPO,Rajesh Exports Limited,2026-09-02,N/A,₹79.49,₹79.49,₹77.00,4.99%,5%,"₹194,803 Cr",3
AKI,AKI India Limited,2026-09-02,N/A,₹5.48,₹5.48,₹4.70,19.91%,20%,"₹4,694 Cr",30
MAZDA,Mazda Limited,2026-09-02,N/A,₹261.85,₹261.85,₹242.00,4.99%,5%,"₹43,430 Cr",1
RSWM,RSWM Limited,2026-09-02,N/A,₹206.94,₹206.94,₹195.00,5.00%,5%,"₹80,902 Cr",1
BALAXI,Balaxi Pharmaceuticals Limited,2026-09-02,N/A,₹25.04,₹25.04,₹22.45,9.97%,10%,"₹11,460 Cr",3
DAICHI,Dai-ichi Karkaria Limited,2026-09-02,N/A,₹355.95,₹355.95,₹331.50,5.00%,5%,N/A,0
PENTAGON,Pentagon Rubber Limited,2026-09-02,N/A,₹62.40,₹62.40,₹52.00,20.00%,20%,"₹7,868 Cr",0
CAPTRUST,Capital Trust Limited,2026-09-02,N/A,₹19.76,₹19.76,₹18.60,4.99%,5%,"₹5,556 Cr",0
