Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
JINDWORLD,Jindal Worldwide Limited,2026-09-03,N/A,₹48.22,₹48.22,₹40.52,19.98%,20%,"₹400,685 Cr","1,108"
HIKAL,Hikal Limited,2026-09-03,N/A,₹240.72,₹240.72,₹201.15,20.00%,20%,"₹245,984 Cr",202
RBZJEWEL,RBZ Jewellers Limited,2026-09-03,N/A,₹193.76,₹193.76,₹160.00,20.00%,20%,"₹63,638 Cr",117
SBCL,Shivalik Bimetal Controls Limited,2026-09-03,N/A,₹1155.90,₹1155.90,₹1052.00,9.99%,10%,"₹552,653 Cr",7
CEMPRO,Cemindia Projects Limited,2026-09-03,N/A,₹1297.50,₹1297.50,₹1227.50,4.99%,5%,"₹1,849,168 Cr",3
OAL,Oriental Aromatics Limited,2026-09-03,N/A,₹503.70,₹503.70,₹460.00,9.99%,10%,"₹140,305 Cr",2
ONEGLOBAL,One Global Service Provider Limited,2026-09-03,N/A,₹527.15,₹527.15,₹494.00,5.00%,5%,N/A,1
BIRLAPREC,Birla Precision Technologies Limited,2026-09-03,N/A,₹51.67,₹51.67,₹42.75,20.00%,20%,"₹29,329 Cr",10
VENUSREM,Venus Remedies Limited,2026-09-03,N/A,₹1701.90,₹1701.90,₹1620.00,5.00%,5%,"₹189,041 Cr",0
COFFEEDAY,Coffee Day Enterprises Limited,2026-09-03,N/A,₹31.30,₹31.30,₹28.56,5.00%,5%,"₹54,881 Cr",11
GPECO,GP ECO Solutions India Limited,2026-09-03,N/A,₹422.30,₹422.30,₹402.10,5.00%,5%,"₹35,070 Cr",0
DAICHI,Dai-ichi Karkaria Limited,2026-09-03,N/A,₹369.90,₹369.90,₹355.95,5.00%,5%,N/A,0
CYBERMEDIA,Cyber Media (India) Limited,2026-09-03,N/A,₹23.88,₹23.88,₹20.80,20.00%,20%,"₹4,129 Cr",3
TIJARIA,Tijaria Polypipes Limited,2026-09-03,N/A,₹9.09,₹9.09,₹7.78,19.92%,20%,"₹2,189 Cr",7
MAL,Mangalam Alloys Limited,2026-09-03,N/A,₹34.75,₹34.75,₹32.75,9.97%,10%,"₹8,452 Cr",1
DYNAMIC,Dynamic Services & Security Limited,2026-09-03,N/A,₹141.80,₹141.80,₹137.00,5.00%,5%,"₹53,544 Cr",0
PENTAGON,Pentagon Rubber Limited,2026-09-03,N/A,₹74.85,₹74.85,₹72.95,19.95%,20%,"₹7,868 Cr",0
SVGLOBAL,S V Global Mill Limited,2026-09-03,N/A,₹144.01,₹144.01,₹124.99,20.00%,20%,N/A,0
MAKERSL,Makers Laboratories Limited,2026-09-03,N/A,₹200.97,₹200.97,₹182.06,10.00%,10%,"₹9,832 Cr",0
MBLINFRA,MBL Infrastructure Limited,2026-09-03,N/A,₹24.50,₹24.50,₹22.80,4.97%,5%,"₹31,620 Cr",1
BABAFP,Baba Food Processing (India) Limited,2026-09-03,N/A,₹25.90,₹25.90,₹24.85,19.91%,20%,"₹7,189 Cr",0
UNIVPHOTO,Universus Photo Imagings Limited,2026-09-03,N/A,₹467.25,₹467.25,₹455.05,5.00%,5%,"₹42,453 Cr",0
QFIL,Quality Foils (India) Limited,2026-09-03,N/A,₹63.00,₹63.00,₹63.00,5.00%,5%,"₹2,629 Cr",0
UWCSL,Ultra Wiring Connectivity System Limited,2026-09-03,N/A,₹110.25,₹110.25,₹110.25,5.00%,5%,"₹3,842 Cr",0
