Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
DIFFNKG,Diffusion Engineers Limited,2026-08-31,N/A,₹493.20,₹493.20,₹415.15,20.00%,20%,"₹149,606 Cr",78
BODALCHEM,Bodal Chemicals Limited,2026-08-31,N/A,₹118.89,₹118.89,₹106.41,19.99%,20%,"₹124,280 Cr",70
MODISONLTD,Modison Limited,2026-08-31,N/A,₹454.05,₹454.05,₹418.70,9.99%,10%,"₹122,292 Cr",4
KODYTECH,Kody Technolab Limited,2026-08-31,N/A,₹1490.00,₹1490.05,₹1365.10,5.00%,5%,"₹375,607 Cr",1
KALYANIFRG,Kalyani Forge Limited,2026-08-31,N/A,₹914.30,₹914.30,₹741.50,19.99%,20%,"₹27,608 Cr",1
GAUDIUMIVF,Gaudium IVF and Women Health Limited,2026-08-31,N/A,₹127.80,₹127.80,₹119.98,5.00%,5%,"₹77,208 Cr",4
IVP,IVP Limited,2026-08-31,N/A,₹200.93,₹200.93,₹191.25,5.00%,5%,"₹17,221 Cr",1
SEJALLTD,Sejal Glass Limited,2026-08-31,N/A,₹707.00,₹707.00,₹673.55,5.00%,5%,"₹68,799 Cr",0
OILCOUNTUB,Oil Country Tubular Limited,2026-08-31,N/A,₹64.03,₹64.03,₹63.01,4.98%,5%,"₹29,859 Cr",1
EMMBI,Emmbi Industries Limited,2026-08-31,N/A,₹90.30,₹90.30,₹90.00,5.00%,5%,"₹14,420 Cr",0
TRUST,Trust Fintech Limited,2026-08-31,N/A,₹34.25,₹34.25,₹28.55,19.96%,20%,"₹34,675 Cr",1
URAVIDEF,Uravi Defence and Technology Limited,2026-08-31,N/A,₹113.31,₹113.31,₹107.99,4.99%,5%,"₹10,721 Cr",0
BYKE,The Byke Hospitality Limited,2026-08-31,N/A,₹32.27,₹32.27,₹30.31,4.98%,5%,"₹14,003 Cr",1
KORE,Jay Jalaram Technologies Limited,2026-08-31,N/A,₹118.80,₹118.80,₹111.90,10.00%,10%,"₹65,280 Cr",0
HOLMARC,Holmarc Opto-Mechatronics Limited,2026-08-31,N/A,₹102.05,₹102.05,₹97.20,4.99%,5%,"₹9,088 Cr",0
