Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
SBCL,Shivalik Bimetal Controls Limited,2026-08-07,N/A,₹920.90,₹920.90,₹830.05,19.99%,20%,"₹440,296 Cr",60
DBREALTY,Valor Estate Limited,2026-08-07,N/A,₹117.32,₹117.32,₹110.00,4.99%,5%,"₹528,172 Cr",7
SPCENET,Spacenet Enterprises India Limited,2026-08-07,N/A,₹3.87,₹3.87,₹3.57,9.94%,10%,"₹18,189 Cr",18
ESFL,"ESFL.NS,0P0001R76T,10200",2026-08-07,N/A,₹126.25,₹126.25,₹117.00,9.97%,10%,"₹32,110 Cr",0
BSHSL,Bombay Super Hybrid Seeds Limited,2026-08-07,N/A,₹91.00,₹91.00,₹86.50,5.00%,5%,"₹79,259 Cr",0
IVP,IVP Limited,2026-08-07,N/A,₹168.71,₹168.71,₹168.71,5.00%,5%,"₹14,460 Cr",0
SHIVAMILLS,Shiva Mills Limited,2026-08-07,N/A,₹65.49,₹65.49,₹65.49,4.99%,5%,"₹4,697 Cr",0
VALIANTLAB,Valiant Laboratories Limited,2026-08-07,N/A,₹64.59,₹64.59,₹61.00,4.99%,5%,"₹29,117 Cr",0
ZENITHEXPO,Zenith Exports Limited,2026-08-07,N/A,₹216.96,₹216.96,₹193.20,10.00%,10%,"₹9,697 Cr",0
