Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
ELLEN,ELLENBARRIE INDUS GASES L,2026-08-12,N/A,₹323.80,₹323.80,₹286.70,9.99%,10%,"₹378,770 Cr",34
SINGERIND,Singer India Limited,2026-08-12,N/A,₹91.30,₹91.30,₹73.68,19.99%,20%,N/A,22
MHLXMIRU,Mahalaxmi Rubtech Limited,2026-08-12,N/A,₹171.42,₹171.42,₹162.00,10.00%,10%,"₹15,110 Cr",1
SSDL,SARASWATI SAREE DEPOT LTD,2026-08-12,N/A,₹65.77,₹65.77,₹54.45,20.00%,20%,"₹21,374 Cr",4
ASHIKAG,ASHIKA GLOBAL SEC LTD,2026-08-12,N/A,₹439.25,₹439.25,₹415.10,5.00%,5%,N/A,0
NURECA,Nureca Limited,2026-08-12,N/A,₹340.30,₹340.30,₹320.10,5.00%,5%,"₹28,241 Cr",0
BROOKS,Brooks Laboratories Limited,2026-08-12,N/A,₹62.48,₹62.48,₹60.64,4.99%,5%,"₹15,276 Cr",1
CALSOFT,California Software Company Limited,2026-08-12,N/A,₹22.32,₹22.32,₹21.81,4.99%,5%,"₹11,454 Cr",2
REGENCERAM,Regency Ceramics Limited,2026-08-12,N/A,₹38.86,₹38.86,₹34.61,19.98%,20%,"₹8,528 Cr",0
UNIVPHOTO,Universus Photo Imagings Limited,2026-08-12,N/A,₹477.65,₹477.65,₹435.00,4.99%,5%,"₹43,261 Cr",0
ABANSENT,ABans Enterprises Limited,2026-08-12,N/A,₹27.57,₹27.57,₹27.57,4.99%,5%,N/A,0
