Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
IKIO,IKIO Technologies Limited,2026-07-03,N/A,₹204.28,₹204.28,₹177.90,20.00%,20%,"₹130,095 Cr",429
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,2026-07-03,N/A,₹258.20,₹258.20,₹236.63,10.00%,10%,"₹2,367,411 Cr",73
TPLPLASTEH,TPL Plastech Limited,2026-07-03,N/A,₹87.40,₹87.40,₹72.30,19.99%,20%,"₹56,430 Cr",22
ELECTHERM,Electrotherm (India) Limited,2026-07-03,N/A,₹1200.30,₹1200.30,₹1090.00,10.00%,10%,"₹126,950 Cr",1
ELGIRUBCO,Elgi Rubber Company Limited,2026-07-03,N/A,₹55.29,₹55.29,₹46.50,19.99%,20%,"₹22,968 Cr",7
KDL,"KDL.NS,0P0001R3KN,9800",2026-07-03,N/A,₹121.20,₹121.20,₹111.00,4.98%,5%,"₹162,074 Cr",0
GLOBALPET,"GLOBALPET.NS,0P0001R8HU,15000",2026-07-03,N/A,₹158.00,₹158.00,₹150.00,4.98%,5%,"₹9,475 Cr",0
CHEMFAB,Chemfab Alkalis Limited,2026-07-03,N/A,₹369.25,₹369.25,₹355.00,4.99%,5%,"₹44,052 Cr",0
TOKYOPLAST,Tokyo Plast International Limited,2026-07-03,N/A,₹89.79,₹89.79,₹83.81,4.99%,5%,"₹7,025 Cr",0
